# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     49     33     39      0      0      0      0      0      0   1215   1095  35957  35958      0      0      0 
    0     49     33     39      0      0      0      0      0      0   1215   1095  35957  35958      0      0      0 
    0     50     33     39      0      0      0      0      0      0   1215   1095  35957  35958      0      0      0 
    0     49     33     39      0      0      0      0      0      0   1215   1095  35957  35958      0      0      0 
    0     50     33     39      0      0      0      0      0      0   1215   1095  35957  35958      0      0      0 
    0     49     33     39      0      0      0      0      0      0   1215   1095  35957  35958      0      0      0 
    0     50     33     39      0      0      0      0      0      0   1215   1095  35957  35958      0      0      0 
    0     50     33     39      0      0      0      0      0      0   1215   1095  35957  35958      0      0      0 
    0     50     33     39      0      0      0      0      0      0   1215   1095  35957  35958      0      0      0 
    0     50     33     39      0      0      0      0      0      0   1215   1095  35957  35958      0      0      0 
    0     49     33     39      0      0      0      0      0      0   1215   1095  35957  35958      0      0      0 
    0     50     33     39      0      0      0      0      0      0   1215   1095  35957  35958      0      0      0 
    0     50     33     39      0      0      0      0      0      0   1215   1095  35957  35958      0      0      0 
    0     50     33     39      0      0      0      0      0      0   1215   1095  35957  35958      0      0      0 
    0     50     32     39      0      0      0      0      0      0   1215   1095  35957  35958      0      0      0 
    0     49     32     39      0      0      0      0      0      0   1215   1095  35977  35978      0    320  10724 
    0    305     45     52    100     37      0      0      0      0   1215   1410  36137  36138      0     28      8 
    0    303     46     56    100    100      0      0      0      0   1215   1410  36137  36138      0     26      9 
    0    305     47     58    100    100      0      0      0      0   1215   1410  36137  36138      0     31     33 
    0    309     47     59    100    100      0      0      0      0   1215   1410  36137  36138      0     27      8 
    0    311     48     60    100    100      0      0      0      0   1215   1410  36137  36138      0     23      9 
    0    309     49     61    100    100      0      0      0      0   1215   1410  36137  36138      0     24      8 
    0    309     49     61    100    100      0      0      0      0   1215   1410  36137  36138      0     26      9 
    0    312     50     62    100    100      0      0      0      0   1215   1410  36137  36138      0     27     16 
    0    315     50     62    100    100      0      0      0      0   1215   1410  36137  36138      0    862   2833 
    0    312     51     63    100    100      0      0      0      0   1215   1410  36137  36138      0     26      8 
    0    320     52     62    100    100      0      0      0      0   1215   1410  36139  36140      0     22      8 
    0    367     53     63    100     96      0      0      0      0   1215   1410  36139  36140      0     26      8 
    0    391     53     64    100    100      0      0      0      0   1215   1410  36139  36140      0     23     33 
    0    316     53     64    100    100      0      0      0      0   1215   1410  36139  36140      0    350      9 
    0    317     53     64    100    100      0      0      0      0   1215   1410  36139  36140      0     26      9 
    0    316     53     65    100    100      0      0      0      0   1215   1410  36139  36140      0    183    117 
    0    316     54     66     96     93      0      0      0      0   1215   1410  36139  36140      0    165    751 
    0    315     54     66    100    100      0      0      0      0   1215   1410  36139  36140      0     19     19 
    0    315     54     66    100    100      0      0      0      0   1215   1410  36139  36140      0    727   2157 
    0    317     55     67    100    100      0      0      0      0   1215   1410  36139  36140      0    203    735 
    0    314     55     67    100    100      0      0      0      0   1215   1410  36139  36140      0    189      8 
    0    318     55     68    100    100      0      0      0      0   1215   1410  36139  36140      0     26     35 
    0    310     55     67    100     99      0      0      0      0   1215   1410  36139  36140      0    524      8 
    0    310     55     68    100     99      0      0      0      0   1215   1410  36139  36140      0    203    799 
    0    311     56     68    100     99      0      0      0      0   1215   1410  36139  36140      0    734   2170 
    0    309     56     68    100     99      0      0      0      0   1215   1410  36139  36140      0    142    736 
    0    309     56     68    100     98      0      0      0      0   1215   1410  36139  36140      0     20      8 
    0    314     56     68    100     90      0      0      0      0   1215   1410  36139  36140      0     23     32 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0    313     56     69    100    100      0      0      0      0   1215   1410  36139  36140      0     20      8 
    0    316     57     69    100    100      0      0      0      0   1215   1410  36139  36140      0    202    736 
    0    316     57     70    100    100      0      0      0      0   1215   1410  36139  36140      0     24     98 
    0    314     57     70    100    100      0      0      0      0   1215   1410  36139  36140      0     69     36 
    0    315     57     70    100    100      0      0      0      0   1215   1410  36139  36140      0     23     31 
    0    314     58     70    100    100      0      0      0      0   1215   1410  36139  36140      0     24      7 
    0    315     58     71    100    100      0      0      0      0   1215   1410  36139  36140      0    180     41 
    0    306     57     71    100     99      0      0      0      0   1215   1410  36139  36140      0     18    100 
    0    308     58     70    100    100      0      0      0      0   1215   1410  36139  36140      0    184    738 
    0    308     58     71    100    100      0      0      0      0   1215   1410  36139  36140      0     20      7 
    0    308     58     71    100    100      0      0      0      0   1215   1410  36139  36140      0    179     37 
    0    308     58     71    100    100      0      0      0      0   1215   1410  36139  36140      0     23      8 
    0    304     58     71    100    100      0      0      0      0   1215   1410  36139  36140      0    597   1466 
    0    304     58     71    100     99      0      0      0      0   1215   1410  36139  36140      0    116      7 
    0    303     58     71    100     99      0      0      0      0   1215   1410  36139  36140      0     22      8 
    0    308     57     68    100     39      0      0      0      0   1215   1410  36139  36140      0     20      7 
    0    313     59     70    100     98      0      0      0      0   1215   1410  36139  36140      0     34     39 
    0    312     59     71    100     99      0      0      0      0   1215   1410  36139  36140      0    194    711 
    0    311     59     71    100     99      0      0      0      0   1215   1410  36139  36140      0    202    719 
    0    313     59     72    100     99      0      0      0      0   1215   1410  36139  36140      0    186    736 
    0    312     59     72    100     95      0      0      0      0   1215   1410  36139  36140      0     18     92 
    0    315     60     72    100     99      0      0      0      0   1215   1410  36139  36140      0    183    715 
    0    314     60     73    100    100      0      0      0      0   1215   1410  36139  36140      0     18      8 
    0    318     60     72    100    100      0      0      0      0   1215   1410  36139  36140      0   5912    729 
    0    317     60     73    100    100      0      0      0      0   1215   1410  36139  36140      0    764   1474 
    0    317     60     73    100    100      0      0      0      0   1215   1410  36139  36140      0     20     18 
    0    315     60     73    100    100      0      0      0      0   1215   1410  36139  36140      0    186    739 
    0    316     60     73    100    100      0      0      0      0   1215   1410  36139  36140      0     27    113 
    0    318     60     73    100    100      0      0      0      0   1215   1410  36139  36140      0     20      8 
    0    318     61     73    100    100      0      0      0      0   1215   1410  36139  36140      0    175    761 
    0    319     61     74    100    100      0      0      0      0   1215   1410  36139  36140      0     19      8 
    0    315     61     73    100    100      0      0      0      0   1215   1410  36139  36140      0    173    735 
    0    318     61     74    100    100      0      0      0      0   1215   1410  36139  36140      0     19     79 
    0    315     61     74    100    100      0      0      0      0   1215   1410  36139  36140      0     23      7 
    0    318     61     74    100    100      0      0      0      0   1215   1410  36139  36140      0     18     26 
    0    308     60     73    100    100      0      0      0      0   1215   1410  36139  36140      0    159    119 
    0    320     61     73    100    100      0      0      0      0   1215   1410  36139  36140      0     19     23 
    0    316     61     73    100     93      0      0      0      0   1215   1410  36139  36140      0    201    712 
    0    317     61     74    100    100      0      0      0      0   1215   1410  36139  36140      0    115    736 
    0    317     61     74    100    100      0      0      0      0   1215   1410  36139  36140      0    188    719 
    0    318     61     74    100    100      0      0      0      0   1215   1410  36139  36140      0     19     27 
    0    309     61     74    100     99      0      0      0      0   1215   1410  36139  36140      0     78     10 
    0    304     61     74    100     99      0      0      0      0   1215   1410  36139  36140      0     20      8 
    0    304     61     74    100     98      0      0      0      0   1215   1410  36139  36140      0     18     32 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0    301     61     74    100     98      0      0      0      0   1215   1410  36139  36140      0    104    737 
    0    304     61     74    100     98      0      0      0      0   1215   1410  36139  36140      0     22     24 
    0    301     61     74    100     98      0      0      0      0   1215   1410  36139  36140      0     18     28 
    0    304     61     74    100     99      0      0      0      0   1215   1410  36139  36140      0     21      8 
    0    303     61     75    100    100      0      0      0      0   1215   1410  36139  36140      0     23      8 
    0    301     61     75    100    100      0      0      0      0   1215   1410  36139  36140      0     20      7 
    0    297     61     74    100    100      0      0      0      0   1215   1410  36139  36140      0     19      8 
    0    293     61     75    100    100      0      0      0      0   1215   1410  36139  36140      0    191      7 
    0    281     60     75    100     97      0      0      0      0   1215   1410  36139  36140      0     20     22 
    0    281     60     74    100     96      0      0      0      0   1215   1410  36139  36140      0     23      7 
    0    279     60     74    100     97      0      0      0      0   1215   1410  36139  36140      0     20      8 
    0    281     60     74    100     97      0      0      0      0   1215   1410  36139  36140      0     20      8 
    0    280     60     74    100     96      0      0      0      0   1215   1410  36139  36140      0     22      8 
    0    281     60     74    100     96      0      0      0      0   1215   1410  36139  36140      0     19      7 
    0    282     60     74    100     97      0      0      0      0   1215   1410  36139  36140      0     19      8 
    0    280     59     74    100     96      0      0      0      0   1215   1410  36139  36140      0     18      8 
    0    279     59     73    100     96      0      0      0      0   1215   1410  36139  36140      0    155    717 
    0    279     59     74    100     96      0      0      0      0   1215   1410  36139  36140      0     22      7 
    0    278     59     74    100     96      0      0      0      0   1215   1410  36139  36140      0     23      8 
    0    279     59     74    100     96      0      0      0      0   1215   1410  36139  36140      0     20      7 
    0     76     52     55      0      0      0      0      0      0   1215   1410  36139  36140      0      0      1 
    0     74     50     52      0      0      0      0      0      0   1215   1410  36139  36140      0      0      0 
