# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     49     32     38      0      0      0      0      0      0   1215   1095  30451  30452      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  30451  30452      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  30451  30452      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  30451  30452      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  30451  30452      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  30451  30452      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  30451  30452      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  30451  30452      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  30451  30452      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  30451  30452      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  30451  30452      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  30451  30452      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  30451  30452      0      0      1 
    0     49     32     38      0      0      0      0      0      0   1215   1095  30451  30452      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  30451  30452      0      0      0 
    0    271     40     47     86     35      0      0      0      0   1215   1410  30611  30612      0    185      8 
    0    276     42     53    100     97      0      0      0      0   1215   1410  30611  30612      0     22     31 
    0    278     43     56    100     98      0      0      0      0   1215   1410  30611  30612      0     19      8 
    0    279     44     57    100     98      0      0      0      0   1215   1410  30611  30612      0     19      7 
    0    279     45     58    100     98      0      0      0      0   1215   1410  30611  30612      0     21      8 
    0    281     45     59    100     98      0      0      0      0   1215   1410  30611  30612      0    207    871 
    0    282     46     59    100     98      0      0      0      0   1215   1410  30611  30612      0     22      7 
    0    283     46     60    100     98      0      0      0      0   1215   1410  30611  30612      0     19      7 
    0    284     47     59    100     98      0      0      0      0   1215   1410  30611  30612      0   1189   4982 
    0    284     47     61    100     98      0      0      0      0   1215   1410  30611  30612      0     23      8 
    0    285     48     61    100     99      0      0      0      0   1215   1410  30611  30612      0     23      7 
    0    286     48     61    100     99      0      0      0      0   1215   1410  30611  30612      0     20     14 
    0    288     49     62    100     99      0      0      0      0   1215   1410  30611  30612      0     20      7 
    0    289     49     62    100     99      0      0      0      0   1215   1410  30611  30612      0    497   3625 
    0    285     49     63    100     98      0      0      0      0   1215   1410  30611  30612      0     21      7 
    0    283     50     63    100     98      0      0      0      0   1215   1410  30611  30612      0    124      9 
    0    287     50     63    100     98      0      0      0      0   1215   1410  30611  30612      0     20      7 
    0    281     50     63    100     96      0      0      0      0   1215   1410  30613  30614      0     23      7 
    0    283     50     63    100     96      0      0      0      0   1215   1410  30613  30614      0     21      7 
    0    286     51     63    100     96      0      0      0      0   1215   1410  30613  30614      0     19      7 
    0    286     51     64    100     96      0      0      0      0   1215   1410  30613  30614      0     18      7 
    0    293     52     65    100    100      0      0      0      0   1215   1410  30613  30614      0     20      8 
    0    295     52     65    100    100      0      0      0      0   1215   1410  30613  30614      0     22      8 
    0    293     52     66    100    100      0      0      0      0   1215   1410  30613  30614      0     23      8 
    0    295     53     66    100    100      0      0      0      0   1215   1410  30613  30614      0    672   2862 
    0    289     52     66    100    100      0      0      0      0   1215   1410  30613  30614      0    137    722 
    0    289     53     66    100    100      0      0      0      0   1215   1410  30613  30614      0     21      7 
    0    290     53     66    100    100      0      0      0      0   1215   1410  30613  30614      0     20      8 
    0    290     53     67    100    100      0      0      0      0   1215   1410  30613  30614      0     20      9 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0    288     53     67    100    100      0      0      0      0   1215   1410  30613  30614      0     22      7 
    0    287     53     66    100    100      0      0      0      0   1215   1410  30613  30614      0     20      8 
    0    290     53     67    100    100      0      0      0      0   1215   1410  30613  30614      0     19      9 
    0    276     53     66    100     97      0      0      0      0   1215   1410  30613  30614      0     19      8 
    0    275     53     67    100     97      0      0      0      0   1215   1410  30613  30614      0     94      8 
    0    275     53     67    100     97      0      0      0      0   1215   1410  30613  30614      0     57    732 
    0     72     45     48      0      0      0      0      0      0   1215   1410  30613  30614      0      0      1 
