# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     49     32     39      0      0      0      0      0      0   1215   1095  36543  36544      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  36543  36544      0      0      0 
    0     49     32     39      0      0      0      0      0      0   1215   1095  36543  36544      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  36543  36544      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  36543  36544      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  36543  36544      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  36543  36544      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  36543  36544      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  36543  36544      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  36543  36544      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  36543  36544      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  36543  36544      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  36543  36544      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  36543  36544      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  36543  36544      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  36543  36544      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  36543  36544      0      0      1 
    0     49     32     38      0      0      0      0      0      0   1215   1095  36543  36544      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  36543  36544      0      0      1 
    0    206     35     44      0      0      0      0      0      0   1215   1410  36543  36544      0     21      7 
    0    266     41     53    100     99      0      0      0      0   1215   1410  36543  36544      0     19      7 
    0    276     43     56    100    100      0      0      0      0   1215   1410  36543  36544      0     20      7 
    0    277     44     57    100    100      0      0      0      0   1215   1410  36545  36546      0     20      8 
    0    279     45     58    100    100      0      0      0      0   1215   1410  36565  36566      0     24      7 
    0    277     45     59    100     97      0      0      0      0   1215   1410  36565  36566      0     20      8 
    0    281     46     60    100    100      0      0      0      0   1215   1410  36587  36588      0     22      7 
    0    279     46     60    100    100      0      0      0      0   1215   1410  36587  36588      0     20      8 
    0    282     47     61    100    100      0      0      0      0   1215   1410  36587  36588      0     19      7 
    0    278     47     61    100    100      0      0      0      0   1215   1410  36587  36588      0     20      8 
    0    280     48     62    100    100      0      0      0      0   1215   1410  36587  36588      0     20      7 
    0    281     48     62    100    100      0      0      0      0   1215   1410  36587  36588      0     19      8 
    0    278     48     62    100    100      0      0      0      0   1215   1410  36587  36588      0     20      7 
    0    282     49     62    100    100      0      0      0      0   1215   1410  36587  36588      0     23      7 
    0    278     51     62    100     85      0      0      0      0   1215   1395  36587  36588      0     19      7 
    0    278     50     63    100     92      0      0      0      0   1215   1410  36587  36588      0     23      8 
    0    284     50     64    100    100      0      0      0      0   1215   1410  36587  36588      0     20      7 
    0    285     50     64    100    100      0      0      0      0   1215   1410  36587  36588      0     19      8 
    0    286     51     64    100     95      0      0      0      0   1215   1410  36587  36588      0     19      7 
    0    288     51     64    100     98      0      0      0      0   1215   1410  36587  36588      0     19      7 
    0    287     51     64    100     97      0      0      0      0   1215   1410  36587  36588      0     19      7 
    0    286     52     65    100     97      0      0      0      0   1215   1410  36587  36588      0     26      6 
    0    288     52     65    100     97      0      0      0      0   1215   1410  36617  36618      0     20      7 
    0    285     52     65    100     97      0      0      0      0   1215   1410  36617  36618      0     22      8 
    0    288     53     65    100     97      0      0      0      0   1215   1410  36649  36650      0     19      7 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0    288     53     65    100     98      0      0      0      0   1215   1410  36649  36650      0     19      7 
