# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      1 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0    227     37     44     87     65      0      0      0      0   1215   1410  32867  32868      0     22      7 
    0    235     40     50     94     86      0      0      0      0   1215   1410  32867  32868      0     21      7 
    0    233     41     50     94     86      0      0      0      0   1215   1410  32867  32868      0     22      7 
    0    237     42     52     94     87      0      0      0      0   1215   1410  32867  32868      0     20      7 
    0    234     42     53     94     86      0      0      0      0   1215   1410  32867  32868      0     22      7 
    0    236     43     54     94     86      0      0      0      0   1215   1410  32867  32868      0     21      7 
    0    236     43     54     94     86      0      0      0      0   1215   1410  32867  32868      0     23      8 
    0    238     44     53     94     87      0      0      0      0   1215   1410  32867  32868      0     19      7 
    0    236     44     55     94     86      0      0      0      0   1215   1410  32867  32868      0     22      7 
    0    231     44     55     94     87      0      0      0      0   1215   1410  32867  32868      0     20      7 
    0    238     45     54     94     87      0      0      0      0   1215   1410  32867  32868      0     22      7 
    0    241     45     56     94     87      0      0      0      0   1215   1410  32867  32868      0     21      7 
