# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     52     41     46      0      0      0      0      0      0   1215   1095  34295  34296      0      0      0 
    0     52     41     46      0      0      0      0      0      0   1215   1095  34295  34296      0      0      0 
    0     52     41     46      0      0      0      0      0      0   1215   1095  34295  34296      0      0      0 
    0     52     41     45      0      0      0      0      0      0   1215   1095  34295  34296      0      0      0 
    0     52     40     45      0      0      0      0      0      0   1215   1095  34295  34296      0      0      0 
    0     52     40     45      0      0      0      0      0      0   1215   1095  34295  34296      0      0      0 
    0     52     40     45      0      0      0      0      0      0   1215   1095  34295  34296      0      0      0 
    0     52     40     45      0      0      0      0      0      0   1215   1095  34295  34296      0      0      0 
    0     52     40     45      0      0      0      0      0      0   1215   1095  34295  34296      0      0      0 
    0     52     39     44      0      0      0      0      0      0   1215   1095  34295  34296      0      0      0 
    0    162     42     52     95     78      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    232     47     57     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    241     48     58     94     87      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    233     49     58     94     86      0      0      0      0   1215   1410  34295  34296      0     21      6 
    0    243     49     59     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    233     49     59     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    240     50     60     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    238     50     61     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    235     50     61     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    236     50     61     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    243     51     61     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    239     51     62     94     86      0      0      0      0   1215   1410  34295  34296      0     22      6 
    0    236     51     62     94     87      0      0      0      0   1215   1410  34295  34296      0     24      7 
    0    235     51     62     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    239     51     63     94     87      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    237     52     63     94     86      0      0      0      0   1215   1410  34295  34296      0     22      6 
    0    244     52     62     94     86      0      0      0      0   1215   1410  34295  34296      0     21      6 
    0    239     52     62     94     87      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    242     52     63     94     86      0      0      0      0   1215   1410  34295  34296      0     24      7 
    0    234     52     63     94     86      0      0      0      0   1215   1410  34295  34296      0     20      6 
    0    234     52     63     94     86      0      0      0      0   1215   1410  34295  34296      0     20      7 
    0    240     52     63     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    247     52     63     94     86      0      0      0      0   1215   1410  34295  34296      0     22      6 
    0    237     53     64     94     86      0      0      0      0   1215   1410  34295  34296      0     20      7 
    0    235     53     64     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    240     53     64     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    240     53     64     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    240     53     64     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    237     53     64     94     86      0      0      0      0   1215   1410  34295  34296      0     26      6 
    0    240     53     63     94     86      0      0      0      0   1215   1410  34295  34296      0     20      6 
    0    240     53     64     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    245     54     64     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    242     54     64     94     86      0      0      0      0   1215   1410  34295  34296      0     20      7 
    0    243     54     65     94     86      0      0      0      0   1215   1410  34295  34296      0     19      7 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0    241     54     65     94     86      0      0      0      0   1215   1410  34295  34296      0     20      7 
    0    242     54     65     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    240     54     65     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    242     54     64     94     86      0      0      0      0   1215   1410  34295  34296      0     20      7 
    0    247     54     65     94     86      0      0      0      0   1215   1410  34295  34296      0     20      7 
    0    243     54     65     94     86      0      0      0      0   1215   1410  34295  34296      0     22      6 
    0    245     54     65     94     86      0      0      0      0   1215   1410  34295  34296      0     24      6 
    0    248     54     65     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    239     54     65     92     85      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    242     54     65     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    245     54     65     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    244     54     65     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    239     54     65     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    251     55     65     94     86      0      0      0      0   1215   1410  34295  34296      0     20      7 
    0    247     55     65     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    243     55     66     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    249     55     65     94     86      0      0      0      0   1215   1410  34295  34296      0     24      7 
    0    248     55     65     94     86      0      0      0      0   1215   1410  34295  34296      0     20      7 
    0    239     55     65     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    243     55     65     94     86      0      0      0      0   1215   1410  34295  34296      0     20      6 
    0    244     55     66     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    249     55     66     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    253     55     66     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    242     55     66     94     86      0      0      0      0   1215   1410  34295  34296      0     20      7 
    0    241     55     66     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    248     55     66     94     86      0      0      0      0   1215   1410  34295  34296      0     20      7 
    0    246     55     65     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    245     55     66     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    247     55     66     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    248     55     66     94     86      0      0      0      0   1215   1410  34295  34296      0     22      6 
    0    247     55     65     94     86      0      0      0      0   1215   1410  34295  34296      0     24      6 
    0    249     55     66     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    249     55     66     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    248     55     66     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    250     55     66     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    243     55     66     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    249     55     66     94     86      0      0      0      0   1215   1410  34295  34296      0     25      6 
    0    251     55     65     94     86      0      0      0      0   1215   1410  34295  34296      0     24      6 
    0    248     55     66     94     86      0      0      0      0   1215   1410  34295  34296      0     24      7 
    0    249     56     66     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    246     56     66     94     86      0      0      0      0   1215   1410  34295  34296      0     24      6 
    0    249     56     66     94     86      0      0      0      0   1215   1410  34295  34296      0     24      6 
    0    248     56     66     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    244     56     66     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0    241     56     66     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    241     56     66     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    250     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     24      7 
    0    251     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    245     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    242     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     22      6 
    0    251     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    250     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    242     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    240     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     20      7 
    0    248     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    246     56     66     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    244     56     66     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    253     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     20      7 
    0    245     56     66     94     86      0      0      0      0   1215   1410  34295  34296      0     21      6 
    0    244     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    246     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    244     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     22      6 
    0    248     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     23      7 
    0    244     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    250     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     25      7 
    0    250     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    251     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     22      7 
    0    250     56     68     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    253     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     20      7 
    0    248     56     67     94     86      0      0      0      0   1215   1410  34295  34296      0     21      7 
    0    234     56     65     89     79      0      0      0      0   1215   1410  34295  34296      0     45      9 
    0    237     56     65     89     79      0      0      0      0   1215   1410  34295  34296      0     39     10 
    0    228     56     65     89     79      0      0      0      0   1215   1410  34295  34296      0     44      9 
