# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32745  32746      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32745  32746      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32745  32746      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32745  32746      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32745  32746      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32745  32746      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32745  32746      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32745  32746      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32745  32746      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32745  32746      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32745  32746      0      0      0 
    0    227     38     45     94     86      0      0      0      0   1215   1410  32825  32826      0     19     10 
    0     64     34     39      0      0      0      0      0      0   1215   1410  32825  32826      0      0      0 
    0     64     33     39      0      0      0      0      0      0   1215   1410  32825  32826      0      0      0 
