# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  32785  32786      0      0      0 
    0    231     38     46     92     85      0      0      0      0   1215   1410  32789  32790      0     23      7 
    0     87     38     43     93     85      0      0      0      0   1215   1410  32789  32790      0      0      0 
    0    233     40     48     93     85      0      0      0      0   1215   1410  32789  32790      0     18      6 
    0    240     42     51     92     86      0      0      0      0   1215   1410  32809  32810      0     24      7 
    0    233     43     51     92     86      0      0      0      0   1215   1410  32875  32876      0     22      6 
    0    237     44     52     92     87      0      0      0      0   1215   1410  32875  32876      0     17      5 
