# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     52     40     45      0      0      0      0      0      0   1215   1095  33067  33068      0      0      0 
    0     52     40     45      0      0      0      0      0      0   1215   1095  33067  33068      0      0      0 
    0     52     39     44      0      0      0      0      0      0   1215   1095  33067  33068      0      0      0 
    0     52     39     44      0      0      0      0      0      0   1215   1095  33067  33068      0      0      0 
    0     52     39     44      0      0      0      0      0      0   1215   1095  33067  33068      0      0      0 
    0     52     39     44      0      0      0      0      0      0   1215   1095  33067  33068      0      0      0 
    0     51     39     44      0      0      0      0      0      0   1215   1095  33067  33068      0      0      0 
    0     51     38     44      0      0      0      0      0      0   1215   1095  33067  33068      0      0      0 
    0     51     38     43      0      0      0      0      0      0   1215   1095  33067  33068      0      0      1 
    0     51     38     43      0      0      0      0      0      0   1215   1095  33067  33068      0      0      0 
    0    177     40     48     42     32      0      0      0      0   1215   1170  33067  33068      0     19      8 
    0    241     46     55     94     86      0      0      0      0   1215   1410  33067  33068      0     23      7 
    0     68     42     45     29     26      0      0      0      0   1215   1410  33067  33068      0      0      1 
    0    231     47     57     93     88      0      0      0      0   1215   1410  33067  33068      0     17      6 
    0    238     48     58     92     84      0      0      0      0   1215   1410  33067  33068      0     19      7 
    0    235     49     59     92     87      0      0      0      0   1215   1410  33067  33068      0     19      6 
    0    240     49     59     93     88      0      0      0      0   1215   1410  33067  33068      0     17      7 
    0    238     49     60     93     88      0      0      0      0   1215   1410  33067  33068      0     18      6 
    0    237     49     60     93     88      0      0      0      0   1215   1410  33067  33068      0     19      7 
    0    237     52     58     93     88      0      0      0      0   1215   1410  33067  33068      0     19      6 
    0    247     50     60     93     88      0      0      0      0   1215   1410  33067  33068      0     18      7 
    0    244     50     60     92     87      0      0      0      0   1215   1410  33067  33068      0     20      6 
