# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      1 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      1 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      1 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      1 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      0 
    0     49     32     38      0      0      0      0      0      0   1215   1095  35881  35882      0      0      0 
    0    238     38     47    100     93      0      0      0      0   1215   1410  35883  35884      0     21      8 
    0    241     40     50    100     93      0      0      0      0   1215   1410  35883  35884      0     27     12 
    0    247     41     52    100     92      0      0      0      0   1215   1410  35883  35884      0     31      9 
    0    243     42     53    100     92      0      0      0      0   1215   1410  35883  35884      0     27     10 
    0    248     43     54    100     92      0      0      0      0   1215   1410  35883  35884      0     27      8 
    0    245     43     55    100     92      0      0      0      0   1215   1410  35883  35884      0     31     10 
    0    243     44     55    100     92      0      0      0      0   1215   1410  35883  35884      0     26      8 
    0    246     44     55    100     92      0      0      0      0   1215   1410  35883  35884      0     27      8 
    0    250     44     56    100     92      0      0      0      0   1215   1410  35883  35884      0     27      8 
    0     68     40     45     52     48      0      0      0      0   1215   1410  35883  35884      0      0      0 
    0     66     37     42      0      0      0      0      0      0   1215   1410  35883  35884      0      0      0 
