# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     34     24     22      0      0      0      0      -      -   1107   1245  30802      6      0      0      0 
    1     36     23     23      0      0      0      0      -      -   1107   1245  30784      6      0      0      0 
    0     34     24     23      0      0      0      0      -      -   1107   1245  30802      6      0      0      0 
    1     36     23     23      0      0      0      0      -      -   1107   1245  30784      6      0      0      0 
    0     34     24     23      0      0      0      0      -      -   1107   1245  30802      6      0      0      0 
    1     36     23     23      0      0      0      0      -      -   1107   1245  30784      6      0      0      0 
    0     34     24     23      0      0      0      0      -      -   1107   1245  30802      6      0      0      0 
    1     36     23     23      0      0      0      0      -      -   1107   1245  30784      6      0      0      0 
    0     34     24     22      0      0      0      0      -      -   1107   1245  30802      6      0      0      0 
    1     36     23     23      0      0      0      0      -      -   1107   1245  30784      6      0      0      0 
    0     34     24     22      0      0      0      0      -      -   1107   1245  30802      6      0      0      0 
    1     36     23     23      0      0      0      0      -      -   1107   1245  30784      6      0      0      0 
    0     34     24     22      0      0      0      0      -      -   1107   1245  30802      6      0      0      0 
    1     36     23     23      0      0      0      0      -      -   1107   1245  30784      6      0      0      0 
    0    160     28     29     91     59      0      0      -      -   1107   1597  30926      6      0     99     71 
    1    167     27     30     88     59      0      0      -      -   1107   1597  30904      6      0     79     80 
    0    166     30     32     90     59      0      0      -      -   1107   1597  30926      6      0     99     72 
    1    171     29     32     88     59      0      0      -      -   1107   1597  30904      6      0     84     80 
    0    168     31     33     90     59      0      0      -      -   1107   1597  30926      6      0     97     72 
    1    168     30     33     89     60      0      0      -      -   1107   1597  30904      6      0     88     85 
    0    169     32     34     90     59      0      0      -      -   1107   1597  30926      6      0     98     72 
    1    164     30     34     88     59      0      0      -      -   1107   1597  30904      6      0     89     79 
    0    160     32     34     90     59      0      0      -      -   1107   1597  30926      6      0    101     69 
    1    170     31     33     88     59      0      0      -      -   1107   1597  30904      6      0     79     79 
    0    150     33     35     91     60      0      0      -      -   1107   1597  30926      6      0     99     62 
    1    165     31     35     88     59      0      0      -      -   1107   1597  30904      6      0     89     79 
    0    163     33     35     91     60      0      0      -      -   1107   1597  30926      6      0    101     72 
    1    173     32     35     89     60      0      0      -      -   1107   1597  30904      6      0     79     80 
    0    169     34     36     90     59      0      0      -      -   1107   1597  30926      6      0     98     72 
    1    177     32     36     89     60      0      0      -      -   1107   1597  30904      6      0     89     78 
    0    156     34     36     90     59      0      0      -      -   1107   1597  30926      6      0     98     63 
    1    167     33     36     88     59      0      0      -      -   1107   1597  30904      6      0     89     78 
    0    157     34     36     91     60      0      0      -      -   1107   1597  30926      6      0    100     70 
