# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     36     33     32      0      0      0      0      -      -   1107   1245  31984      6      0      0      0 
    1     38     32     31      0      0      0      0      -      -   1107   1245  31962      6      0      0      0 
    0     36     32     32      0      0      0      0      -      -   1107   1245  31984      6      0      0      0 
    1     38     32     31      0      0      0      0      -      -   1107   1245  31962      6      0      0      0 
    0     36     32     32      0      0      0      0      -      -   1107   1245  31984      6      0      0      0 
    1     38     31     31      0      0      0      0      -      -   1107   1245  31962      6      0      0      0 
    0     36     32     31      0      0      0      0      -      -   1107   1245  31984      6      0      0      0 
    1     38     31     30      0      0      0      0      -      -   1107   1245  31962      6      0      0      0 
    0     36     31     31      0      0      0      0      -      -   1107   1245  31984      6      0      0      0 
    1     38     31     30      0      0      0      0      -      -   1107   1245  31962      6      0      0      0 
    0     36     31     31      0      0      0      0      -      -   1107   1245  31984      6      0      0      0 
    1     38     31     30      0      0      0      0      -      -   1107   1245  31962      6      0      0      0 
    0     36     31     30      0      0      0      0      -      -   1107   1245  31984      6      0      0      0 
    1     38     30     30      0      0      0      0      -      -   1107   1245  31962      6      0      0      0 
    0     36     31     30      0      0      0      0      -      -   1107   1245  31984      6      0      0      0 
    1     38     30     29      0      0      0      0      -      -   1107   1245  31962      6      0   2487   3557 
    0    159     36     39     91     60      0      0      -      -   1107   1597  31984      6      0     98     65 
    1    169     35     38     88     60      0      0      -      -   1107   1597  31962      6      0     89     78 
    0    161     37     40     90     59      0      0      -      -   1107   1597  31984      6      0     99     64 
    1    173     36     39     89     60      0      0      -      -   1107   1597  31962      6      0     87     80 
    0    164     38     40     90     60      0      0      -      -   1107   1597  31984      6      0    101     69 
    1    175     36     39     88     59      0      0      -      -   1107   1597  31962      6      0     81     76 
    0    169     38     41     91     60      0      0      -      -   1107   1597  31984      6      0     97     72 
    1    178     37     40     88     60      0      0      -      -   1107   1597  31962      6      0     80     79 
    0    171     38     41     90     60      0      0      -      -   1107   1597  31984      6      0     94     72 
    1    178     37     40     88     60      0      0      -      -   1107   1597  31962      6      0     89     80 
    0    160     39     41     90     59      0      0      -      -   1107   1597  31984      6      0     98     64 
    1    166     37     41     88     60      0      0      -      -   1107   1597  31962      6      0     88     79 
    0    163     39     42     91     60      0      0      -      -   1107   1597  31984      6      0     98     63 
    1    171     38     41     88     59      0      0      -      -   1107   1597  31962      6      0     89     80 
    0    165     39     42     91     60      0      0      -      -   1107   1597  31984      6      0    100     63 
    1    174     38     42     89     60      0      0      -      -   1107   1597  31962      6      0     86     76 
    0    168     39     42     90     59      0      0      -      -   1107   1597  31984      6      0    100     72 
    1    176     38     41     89     60      0      0      -      -   1107   1597  31962      6      0     80     79 
    0    170     40     42     90     60      0      0      -      -   1107   1597  31984      6      0     99     71 
    1    179     38     41     88     59      0      0      -      -   1107   1597  31962      6      0     81     79 
    0    172     40     42     90     60      0      0      -      -   1107   1597  31984      6      0     96     72 
    1    180     38     42     88     60      0      0      -      -   1107   1597  31962      6      0     89     80 
    0    174     40     43     91     60      0      0      -      -   1107   1597  31984      6      0     97     70 
    1    178     39     42     88     60      0      0      -      -   1107   1597  31962      6      0     89     83 
    0    163     40     43     91     60      0      0      -      -   1107   1597  31984      6      0     96     66 
    1    169     39     43     88     60      0      0      -      -   1107   1597  31962      6      0     88     80 
    0    179     42     38    100     18      0      0      -      -   1107   1380  32248      6      0   7200   2713 
    1    204     41     39    100     18      0      0      -      -   1107   1312  32226      6      0   5186   3777 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0    251     44     39    100     16      0      0      -      -   1107   1342  32004      6      0   5017   3519 
