timestamp_utc,run_id,gpu,pwr_w,gtemp_c,mtemp_c,sm_pct,mem_pct,enc_pct,dec_pct,jpg_pct,ofa_pct,mclk_mhz,pclk_mhz,fb_mb,bar1_mb,ccpm_mb,rxpci_mbps,txpci_mbps
2026-04-27T21:14:15.634059+00:00,medium_gpu_2_final_code_generation,0,36,33,32,0,0,0,0,,,1107,1245,31984,6,0,0,0
2026-04-27T21:14:15.859288+00:00,medium_gpu_2_final_code_generation,1,38,32,31,0,0,0,0,,,1107,1245,31962,6,0,0,0
2026-04-27T21:14:16.908973+00:00,medium_gpu_2_final_code_generation,0,36,32,32,0,0,0,0,,,1107,1245,31984,6,0,0,0
2026-04-27T21:14:17.093866+00:00,medium_gpu_2_final_code_generation,1,38,32,31,0,0,0,0,,,1107,1245,31962,6,0,0,0
2026-04-27T21:14:18.266570+00:00,medium_gpu_2_final_code_generation,0,36,32,32,0,0,0,0,,,1107,1245,31984,6,0,0,0
2026-04-27T21:14:18.411425+00:00,medium_gpu_2_final_code_generation,1,38,31,31,0,0,0,0,,,1107,1245,31962,6,0,0,0
2026-04-27T21:14:19.461098+00:00,medium_gpu_2_final_code_generation,0,36,32,31,0,0,0,0,,,1107,1245,31984,6,0,0,0
2026-04-27T21:14:19.628383+00:00,medium_gpu_2_final_code_generation,1,38,31,30,0,0,0,0,,,1107,1245,31962,6,0,0,0
2026-04-27T21:14:20.738442+00:00,medium_gpu_2_final_code_generation,0,36,31,31,0,0,0,0,,,1107,1245,31984,6,0,0,0
2026-04-27T21:14:21.063886+00:00,medium_gpu_2_final_code_generation,1,38,31,30,0,0,0,0,,,1107,1245,31962,6,0,0,0
2026-04-27T21:14:22.153818+00:00,medium_gpu_2_final_code_generation,0,36,31,31,0,0,0,0,,,1107,1245,31984,6,0,0,0
2026-04-27T21:14:22.217719+00:00,medium_gpu_2_final_code_generation,1,38,31,30,0,0,0,0,,,1107,1245,31962,6,0,0,0
2026-04-27T21:14:23.528944+00:00,medium_gpu_2_final_code_generation,0,36,31,30,0,0,0,0,,,1107,1245,31984,6,0,0,0
2026-04-27T21:14:23.836322+00:00,medium_gpu_2_final_code_generation,1,38,30,30,0,0,0,0,,,1107,1245,31962,6,0,0,0
2026-04-27T21:14:25.067123+00:00,medium_gpu_2_final_code_generation,0,36,31,30,0,0,0,0,,,1107,1245,31984,6,0,0,0
2026-04-27T21:14:25.110926+00:00,medium_gpu_2_final_code_generation,1,38,30,29,0,0,0,0,,,1107,1245,31962,6,0,2487,3557
2026-04-27T21:14:26.160896+00:00,medium_gpu_2_final_code_generation,0,159,36,39,91,60,0,0,,,1107,1597,31984,6,0,98,65
2026-04-27T21:14:26.204762+00:00,medium_gpu_2_final_code_generation,1,169,35,38,88,60,0,0,,,1107,1597,31962,6,0,89,78
2026-04-27T21:14:27.254492+00:00,medium_gpu_2_final_code_generation,0,161,37,40,90,59,0,0,,,1107,1597,31984,6,0,99,64
2026-04-27T21:14:27.298579+00:00,medium_gpu_2_final_code_generation,1,173,36,39,89,60,0,0,,,1107,1597,31962,6,0,87,80
2026-04-27T21:14:28.348270+00:00,medium_gpu_2_final_code_generation,0,164,38,40,90,60,0,0,,,1107,1597,31984,6,0,101,69
2026-04-27T21:14:28.392658+00:00,medium_gpu_2_final_code_generation,1,175,36,39,88,59,0,0,,,1107,1597,31962,6,0,81,76
2026-04-27T21:14:29.443122+00:00,medium_gpu_2_final_code_generation,0,169,38,41,91,60,0,0,,,1107,1597,31984,6,0,97,72
2026-04-27T21:14:29.486990+00:00,medium_gpu_2_final_code_generation,1,178,37,40,88,60,0,0,,,1107,1597,31962,6,0,80,79
2026-04-27T21:14:30.536752+00:00,medium_gpu_2_final_code_generation,0,171,38,41,90,60,0,0,,,1107,1597,31984,6,0,94,72
2026-04-27T21:14:30.581263+00:00,medium_gpu_2_final_code_generation,1,178,37,40,88,60,0,0,,,1107,1597,31962,6,0,89,80
2026-04-27T21:14:31.631852+00:00,medium_gpu_2_final_code_generation,0,160,39,41,90,59,0,0,,,1107,1597,31984,6,0,98,64
2026-04-27T21:14:31.675662+00:00,medium_gpu_2_final_code_generation,1,166,37,41,88,60,0,0,,,1107,1597,31962,6,0,88,79
2026-04-27T21:14:32.725419+00:00,medium_gpu_2_final_code_generation,0,163,39,42,91,60,0,0,,,1107,1597,31984,6,0,98,63
2026-04-27T21:14:32.769254+00:00,medium_gpu_2_final_code_generation,1,171,38,41,88,59,0,0,,,1107,1597,31962,6,0,89,80
2026-04-27T21:14:33.818934+00:00,medium_gpu_2_final_code_generation,0,165,39,42,91,60,0,0,,,1107,1597,31984,6,0,100,63
2026-04-27T21:14:33.862843+00:00,medium_gpu_2_final_code_generation,1,174,38,42,89,60,0,0,,,1107,1597,31962,6,0,86,76
2026-04-27T21:14:34.913004+00:00,medium_gpu_2_final_code_generation,0,168,39,42,90,59,0,0,,,1107,1597,31984,6,0,100,72
2026-04-27T21:14:34.956899+00:00,medium_gpu_2_final_code_generation,1,176,38,41,89,60,0,0,,,1107,1597,31962,6,0,80,79
2026-04-27T21:14:36.006703+00:00,medium_gpu_2_final_code_generation,0,170,40,42,90,60,0,0,,,1107,1597,31984,6,0,99,71
2026-04-27T21:14:36.051225+00:00,medium_gpu_2_final_code_generation,1,179,38,41,88,59,0,0,,,1107,1597,31962,6,0,81,79
2026-04-27T21:14:37.100923+00:00,medium_gpu_2_final_code_generation,0,172,40,42,90,60,0,0,,,1107,1597,31984,6,0,96,72
2026-04-27T21:14:37.144782+00:00,medium_gpu_2_final_code_generation,1,180,38,42,88,60,0,0,,,1107,1597,31962,6,0,89,80
2026-04-27T21:14:38.194523+00:00,medium_gpu_2_final_code_generation,0,174,40,43,91,60,0,0,,,1107,1597,31984,6,0,97,70
2026-04-27T21:14:38.238349+00:00,medium_gpu_2_final_code_generation,1,178,39,42,88,60,0,0,,,1107,1597,31962,6,0,89,83
2026-04-27T21:14:39.288049+00:00,medium_gpu_2_final_code_generation,0,163,40,43,91,60,0,0,,,1107,1597,31984,6,0,96,66
2026-04-27T21:14:39.331901+00:00,medium_gpu_2_final_code_generation,1,169,39,43,88,60,0,0,,,1107,1597,31962,6,0,88,80
2026-04-27T21:14:40.392053+00:00,medium_gpu_2_final_code_generation,0,179,42,38,100,18,0,0,,,1107,1380,32248,6,0,7200,2713
2026-04-27T21:14:40.437905+00:00,medium_gpu_2_final_code_generation,1,204,41,39,100,18,0,0,,,1107,1312,32226,6,0,5186,3777
2026-04-27T21:14:41.500213+00:00,medium_gpu_2_final_code_generation,0,251,44,39,100,16,0,0,,,1107,1342,32004,6,0,5017,3519
2026-04-27T21:14:41.551897+00:00,medium_gpu_2_final_code_generation,1,197,42,39,100,17,0,0,,,1107,1327,31984,6,0,4756,6934
2026-04-27T21:14:42.601668+00:00,medium_gpu_2_final_code_generation,0,165,42,42,90,45,0,0,,,1107,1590,32104,6,0,502,405
2026-04-27T21:14:42.645549+00:00,medium_gpu_2_final_code_generation,1,175,40,42,88,50,0,0,,,1107,1597,32084,6,0,403,479
2026-04-27T21:14:43.695262+00:00,medium_gpu_2_final_code_generation,0,156,41,42,90,50,0,0,,,1107,1597,32104,6,0,493,413
2026-04-27T21:14:43.741082+00:00,medium_gpu_2_final_code_generation,1,175,40,42,88,49,0,0,,,1107,1597,32084,6,0,432,473
2026-04-27T21:14:44.790822+00:00,medium_gpu_2_final_code_generation,0,172,41,43,90,50,0,0,,,1107,1597,32104,6,0,496,375
2026-04-27T21:14:44.834748+00:00,medium_gpu_2_final_code_generation,1,164,40,42,88,49,0,0,,,1107,1597,32084,6,0,431,473
2026-04-27T21:14:45.884573+00:00,medium_gpu_2_final_code_generation,0,156,42,43,90,50,0,0,,,1107,1597,32104,6,0,494,413
2026-04-27T21:14:45.928933+00:00,medium_gpu_2_final_code_generation,1,174,40,42,88,49,0,0,,,1107,1597,32084,6,0,431,479
2026-04-27T21:14:46.981430+00:00,medium_gpu_2_final_code_generation,0,171,42,43,90,50,0,0,,,1107,1597,32104,6,0,507,407
2026-04-27T21:14:47.025289+00:00,medium_gpu_2_final_code_generation,1,179,41,43,88,50,0,0,,,1107,1597,32084,6,0,435,466
2026-04-27T21:14:48.075467+00:00,medium_gpu_2_final_code_generation,0,168,42,43,90,50,0,0,,,1107,1597,32104,6,0,500,407
2026-04-27T21:14:48.119356+00:00,medium_gpu_2_final_code_generation,1,172,41,43,88,50,0,0,,,1107,1597,32084,6,0,431,472
2026-04-27T21:14:49.169174+00:00,medium_gpu_2_final_code_generation,0,164,42,43,90,50,0,0,,,1107,1597,32104,6,0,501,408
2026-04-27T21:14:49.213128+00:00,medium_gpu_2_final_code_generation,1,180,41,43,88,50,0,0,,,1107,1597,32084,6,0,431,467
2026-04-27T21:14:50.262898+00:00,medium_gpu_2_final_code_generation,0,171,42,43,90,50,0,0,,,1107,1597,32104,6,0,500,400
2026-04-27T21:14:50.307637+00:00,medium_gpu_2_final_code_generation,1,170,41,43,88,50,0,0,,,1107,1597,32084,6,0,432,474
2026-04-27T21:14:51.360218+00:00,medium_gpu_2_final_code_generation,0,159,42,44,90,50,0,0,,,1107,1597,32104,6,0,500,407
2026-04-27T21:14:51.404833+00:00,medium_gpu_2_final_code_generation,1,176,41,43,88,50,0,0,,,1107,1597,32084,6,0,426,473
2026-04-27T21:14:52.454551+00:00,medium_gpu_2_final_code_generation,0,156,42,44,89,50,0,0,,,1107,1597,32104,6,0,493,407
2026-04-27T21:14:52.503092+00:00,medium_gpu_2_final_code_generation,1,182,41,43,88,50,0,0,,,1107,1597,32084,6,0,419,509
2026-04-27T21:14:53.552772+00:00,medium_gpu_2_final_code_generation,0,169,43,44,90,50,0,0,,,1107,1597,32104,6,0,500,400
2026-04-27T21:14:53.598176+00:00,medium_gpu_2_final_code_generation,1,184,41,43,88,50,0,0,,,1107,1597,32084,6,0,398,440
2026-04-27T21:14:54.647872+00:00,medium_gpu_2_final_code_generation,0,167,43,43,90,50,0,0,,,1107,1597,32104,6,0,493,401
2026-04-27T21:14:54.691813+00:00,medium_gpu_2_final_code_generation,1,186,42,44,88,50,0,0,,,1107,1597,32084,6,0,398,440
2026-04-27T21:14:55.741643+00:00,medium_gpu_2_final_code_generation,0,164,43,43,90,50,0,0,,,1107,1597,32104,6,0,494,400
2026-04-27T21:14:55.785488+00:00,medium_gpu_2_final_code_generation,1,183,42,43,89,50,0,0,,,1107,1597,32084,6,0,424,461
2026-04-27T21:14:56.835210+00:00,medium_gpu_2_final_code_generation,0,172,43,44,90,50,0,0,,,1107,1597,32104,6,0,488,399
2026-04-27T21:14:56.879841+00:00,medium_gpu_2_final_code_generation,1,174,42,44,89,50,0,0,,,1107,1597,32084,6,0,425,466
2026-04-27T21:14:57.930081+00:00,medium_gpu_2_final_code_generation,0,167,43,44,91,50,0,0,,,1107,1597,32104,6,0,493,394
2026-04-27T21:14:57.973980+00:00,medium_gpu_2_final_code_generation,1,181,42,44,88,49,0,0,,,1107,1597,32084,6,0,406,507
2026-04-27T21:14:59.023702+00:00,medium_gpu_2_final_code_generation,0,169,43,44,90,49,0,0,,,1107,1597,32104,6,0,487,401
2026-04-27T21:14:59.068128+00:00,medium_gpu_2_final_code_generation,1,189,42,44,88,49,0,0,,,1107,1597,32084,6,0,399,507
2026-04-27T21:15:00.117850+00:00,medium_gpu_2_final_code_generation,0,158,43,45,91,50,0,0,,,1107,1597,32104,6,0,481,394
2026-04-27T21:15:00.161697+00:00,medium_gpu_2_final_code_generation,1,178,42,43,88,49,0,0,,,1107,1597,32084,6,0,418,460
2026-04-27T21:15:01.211445+00:00,medium_gpu_2_final_code_generation,0,172,43,45,91,50,0,0,,,1107,1597,32104,6,0,487,388
2026-04-27T21:15:01.255333+00:00,medium_gpu_2_final_code_generation,1,185,42,44,89,49,0,0,,,1107,1597,32084,6,0,397,440
2026-04-27T21:15:02.319475+00:00,medium_gpu_2_final_code_generation,0,201,45,41,100,18,0,0,,,1107,1365,32104,6,0,3901,6810
2026-04-27T21:15:02.363340+00:00,medium_gpu_2_final_code_generation,1,174,44,41,100,19,0,0,,,1107,1402,32084,6,0,3486,5093
2026-04-27T21:15:03.414553+00:00,medium_gpu_2_final_code_generation,0,252,46,41,100,19,0,0,,,1107,1410,32104,6,0,5591,2864
2026-04-27T21:15:03.462542+00:00,medium_gpu_2_final_code_generation,1,248,44,42,100,17,0,0,,,1107,1297,32084,6,0,6659,2462
2026-04-27T21:15:04.512856+00:00,medium_gpu_2_final_code_generation,0,172,44,45,90,50,0,0,,,1107,1597,32104,6,0,537,376
