# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     36     34     33      0      0      0      0      -      -   1107   1245  32104      6      0      0      0 
    1     38     33     33      0      0      0      0      -      -   1107   1245  32084      6      0      0      0 
    0     36     33     33      0      0      0      0      -      -   1107   1245  32104      6      0      0      0 
    1     38     33     32      0      0      0      0      -      -   1107   1245  32084      6      0      0      0 
    0     36     33     33      0      0      0      0      -      -   1107   1245  32104      6      0      0      0 
    1     38     33     32      0      0      0      0      -      -   1107   1245  32084      6      0      0      0 
    0     36     33     32      0      0      0      0      -      -   1107   1245  32104      6      0      0      0 
    1     38     32     32      0      0      0      0      -      -   1107   1245  32084      6      0      0      0 
    0     36     32     32      0      0      0      0      -      -   1107   1245  32104      6      0      0      0 
    1     38     32     32      0      0      0      0      -      -   1107   1245  32084      6      0      0      0 
    0     36     32     32      0      0      0      0      -      -   1107   1245  32104      6      0      0      0 
    1     38     32     31      0      0      0      0      -      -   1107   1245  32084      6      0      0      0 
    0     36     32     31      0      0      0      0      -      -   1107   1245  32104      6      0      0      0 
    1     38     31     31      0      0      0      0      -      -   1107   1245  32084      6      0      0      0 
    0     36     31     31      0      0      0      0      -      -   1107   1245  32104      6      0      0      0 
    1     38     31     30      0      0      0      0      -      -   1107   1245  32084      6      0      0      0 
    0    200     38     33    100     18      0      0      -      -   1107   1447  32106      6      0   4671   3115 
    1    228     37     33    100     18      0      0      -      -   1107   1372  32084      6      0   4721   4756 
    0    162     38     40     91     60      0      0      -      -   1107   1597  32106      6      0     97     66 
    1    172     37     39     89     61      0      0      -      -   1107   1597  32084      6      0     88     82 
    0    167     38     41     91     60      0      0      -      -   1107   1597  32106      6      0     99     62 
    1    176     37     40     88     60      0      0      -      -   1107   1597  32084      6      0     89     78 
    0    174     39     41     91     60      0      0      -      -   1107   1597  32106      6      0     98     70 
    1    183     38     41     89     60      0      0      -      -   1107   1597  32084      6      0     80     79 
    0    176     39     42     91     60      0      0      -      -   1107   1597  32106      6      0     97     71 
    1    186     38     41     88     60      0      0      -      -   1107   1597  32084      6      0     89     79 
    0    167     39     43     90     60      0      0      -      -   1107   1597  32106      6      0     98     62 
    1    174     39     42     88     60      0      0      -      -   1107   1597  32084      6      0     88     78 
    0    171     40     42     90     60      0      0      -      -   1107   1597  32106      6      0     98     70 
    1    180     39     42     89     60      0      0      -      -   1107   1597  32084      6      0     77     78 
    0    175     40     43     91     60      0      0      -      -   1107   1597  32106      6      0     97     70 
    1    183     39     41     88     60      0      0      -      -   1107   1597  32084      6      0     80     78 
    0    178     40     42     91     60      0      0      -      -   1107   1597  32106      6      0     96     70 
    1    178     39     43     88     60      0      0      -      -   1107   1597  32084      6      0     88     77 
    0    165     40     43     90     60      0      0      -      -   1107   1597  32106      6      0     97     62 
    1    175     39     43     89     60      0      0      -      -   1107   1597  32084      6      0     88     79 
    0    169     41     44     90     60      0      0      -      -   1107   1597  32106      6      0     99     62 
    1    178     40     43     89     60      0      0      -      -   1107   1597  32084      6      0     84     74 
    0    172     41     43     90     60      0      0      -      -   1107   1597  32106      6      0    100     69 
    1    181     40     43     89     60      0      0      -      -   1107   1597  32084      6      0     79     78 
    0    173     41     43     90     60      0      0      -      -   1107   1597  32106      6      0     99     70 
    1    181     40     43     89     60      0      0      -      -   1107   1597  32084      6      0     80     79 
    0    173     41     43     91     60      0      0      -      -   1107   1597  32106      6      0     98     69 
    1    181     40     43     88     60      0      0      -      -   1107   1597  32084      6      0     79     78 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0    173     41     44     91     60      0      0      -      -   1107   1597  32106      6      0    100     69 
    1    182     40     43     89     60      0      0      -      -   1107   1597  32084      6      0     79     56 
    0    161     44     39    100     17      0      0      -      -   1107   1312  32106      6      0   4776   3263 
    1    226     43     40     96     17      0      0      -      -   1107   1372  32084      6      0   4794   4174 
    0    175     45     39    100     18      0      0      -      -   1107   1395  32106      6      0   5689   4264 
    1    214     43     41    100     18      0      0      -      -   1107   1357  32084      6      0   4495   5221 
    0    195     45     40    100     17      0      0      -      -   1107   1327  32106      6      0   4550   5197 
    1    226     44     41    100     18      0      0      -      -   1107   1417  32084      6      0   5743   3372 
    0    168     43     44     90     51      0      0      -      -   1107   1597  32106      6      0   2889    476 
    1    185     42     44     89     52      0      0      -      -   1107   1597  32084      6      0   2107    450 
