timestamp_utc,run_id,gpu,pwr_w,gtemp_c,mtemp_c,sm_pct,mem_pct,enc_pct,dec_pct,jpg_pct,ofa_pct,mclk_mhz,pclk_mhz,fb_mb,bar1_mb,ccpm_mb,rxpci_mbps,txpci_mbps
2026-04-27T21:17:07.666104+00:00,medium_gpu_2_final_long_conversation,0,36,34,33,0,0,0,0,,,1107,1245,32104,6,0,0,0
2026-04-27T21:17:07.871911+00:00,medium_gpu_2_final_long_conversation,1,38,33,33,0,0,0,0,,,1107,1245,32084,6,0,0,0
2026-04-27T21:17:09.042180+00:00,medium_gpu_2_final_long_conversation,0,36,33,33,0,0,0,0,,,1107,1245,32104,6,0,0,0
2026-04-27T21:17:09.088944+00:00,medium_gpu_2_final_long_conversation,1,38,33,32,0,0,0,0,,,1107,1245,32084,6,0,0,0
2026-04-27T21:17:10.440280+00:00,medium_gpu_2_final_long_conversation,0,36,33,33,0,0,0,0,,,1107,1245,32104,6,0,0,0
2026-04-27T21:17:10.665152+00:00,medium_gpu_2_final_long_conversation,1,38,33,32,0,0,0,0,,,1107,1245,32084,6,0,0,0
2026-04-27T21:17:11.755065+00:00,medium_gpu_2_final_long_conversation,0,36,33,32,0,0,0,0,,,1107,1245,32104,6,0,0,0
2026-04-27T21:17:11.879401+00:00,medium_gpu_2_final_long_conversation,1,38,32,32,0,0,0,0,,,1107,1245,32084,6,0,0,0
2026-04-27T21:17:12.949444+00:00,medium_gpu_2_final_long_conversation,0,36,32,32,0,0,0,0,,,1107,1245,32104,6,0,0,0
2026-04-27T21:17:13.234652+00:00,medium_gpu_2_final_long_conversation,1,38,32,32,0,0,0,0,,,1107,1245,32084,6,0,0,0
2026-04-27T21:17:14.701045+00:00,medium_gpu_2_final_long_conversation,0,36,32,32,0,0,0,0,,,1107,1245,32104,6,0,0,0
2026-04-27T21:17:15.026352+00:00,medium_gpu_2_final_long_conversation,1,38,32,31,0,0,0,0,,,1107,1245,32084,6,0,0,0
2026-04-27T21:17:16.096736+00:00,medium_gpu_2_final_long_conversation,0,36,32,31,0,0,0,0,,,1107,1245,32104,6,0,0,0
2026-04-27T21:17:16.303842+00:00,medium_gpu_2_final_long_conversation,1,38,31,31,0,0,0,0,,,1107,1245,32084,6,0,0,0
2026-04-27T21:17:17.375203+00:00,medium_gpu_2_final_long_conversation,0,36,31,31,0,0,0,0,,,1107,1245,32104,6,0,0,0
2026-04-27T21:17:17.600057+00:00,medium_gpu_2_final_long_conversation,1,38,31,30,0,0,0,0,,,1107,1245,32084,6,0,0,0
2026-04-27T21:17:18.664738+00:00,medium_gpu_2_final_long_conversation,0,200,38,33,100,18,0,0,,,1107,1447,32106,6,0,4671,3115
2026-04-27T21:17:18.709233+00:00,medium_gpu_2_final_long_conversation,1,228,37,33,100,18,0,0,,,1107,1372,32084,6,0,4721,4756
2026-04-27T21:17:19.758939+00:00,medium_gpu_2_final_long_conversation,0,162,38,40,91,60,0,0,,,1107,1597,32106,6,0,97,66
2026-04-27T21:17:19.802838+00:00,medium_gpu_2_final_long_conversation,1,172,37,39,89,61,0,0,,,1107,1597,32084,6,0,88,82
2026-04-27T21:17:20.852650+00:00,medium_gpu_2_final_long_conversation,0,167,38,41,91,60,0,0,,,1107,1597,32106,6,0,99,62
2026-04-27T21:17:20.897035+00:00,medium_gpu_2_final_long_conversation,1,176,37,40,88,60,0,0,,,1107,1597,32084,6,0,89,78
2026-04-27T21:17:21.947293+00:00,medium_gpu_2_final_long_conversation,0,174,39,41,91,60,0,0,,,1107,1597,32106,6,0,98,70
2026-04-27T21:17:21.991423+00:00,medium_gpu_2_final_long_conversation,1,183,38,41,89,60,0,0,,,1107,1597,32084,6,0,80,79
2026-04-27T21:17:23.041159+00:00,medium_gpu_2_final_long_conversation,0,176,39,42,91,60,0,0,,,1107,1597,32106,6,0,97,71
2026-04-27T21:17:23.084958+00:00,medium_gpu_2_final_long_conversation,1,186,38,41,88,60,0,0,,,1107,1597,32084,6,0,89,79
2026-04-27T21:17:24.136642+00:00,medium_gpu_2_final_long_conversation,0,167,39,43,90,60,0,0,,,1107,1597,32106,6,0,98,62
2026-04-27T21:17:24.181117+00:00,medium_gpu_2_final_long_conversation,1,174,39,42,88,60,0,0,,,1107,1597,32084,6,0,88,78
2026-04-27T21:17:25.230915+00:00,medium_gpu_2_final_long_conversation,0,171,40,42,90,60,0,0,,,1107,1597,32106,6,0,98,70
2026-04-27T21:17:25.274771+00:00,medium_gpu_2_final_long_conversation,1,180,39,42,89,60,0,0,,,1107,1597,32084,6,0,77,78
2026-04-27T21:17:26.324467+00:00,medium_gpu_2_final_long_conversation,0,175,40,43,91,60,0,0,,,1107,1597,32106,6,0,97,70
2026-04-27T21:17:26.368399+00:00,medium_gpu_2_final_long_conversation,1,183,39,41,88,60,0,0,,,1107,1597,32084,6,0,80,78
2026-04-27T21:17:27.418712+00:00,medium_gpu_2_final_long_conversation,0,178,40,42,91,60,0,0,,,1107,1597,32106,6,0,96,70
2026-04-27T21:17:27.462557+00:00,medium_gpu_2_final_long_conversation,1,178,39,43,88,60,0,0,,,1107,1597,32084,6,0,88,77
2026-04-27T21:17:28.512287+00:00,medium_gpu_2_final_long_conversation,0,165,40,43,90,60,0,0,,,1107,1597,32106,6,0,97,62
2026-04-27T21:17:28.556159+00:00,medium_gpu_2_final_long_conversation,1,175,39,43,89,60,0,0,,,1107,1597,32084,6,0,88,79
2026-04-27T21:17:29.606972+00:00,medium_gpu_2_final_long_conversation,0,169,41,44,90,60,0,0,,,1107,1597,32106,6,0,99,62
2026-04-27T21:17:29.651733+00:00,medium_gpu_2_final_long_conversation,1,178,40,43,89,60,0,0,,,1107,1597,32084,6,0,84,74
2026-04-27T21:17:30.701508+00:00,medium_gpu_2_final_long_conversation,0,172,41,43,90,60,0,0,,,1107,1597,32106,6,0,100,69
2026-04-27T21:17:30.745330+00:00,medium_gpu_2_final_long_conversation,1,181,40,43,89,60,0,0,,,1107,1597,32084,6,0,79,78
2026-04-27T21:17:31.795065+00:00,medium_gpu_2_final_long_conversation,0,173,41,43,90,60,0,0,,,1107,1597,32106,6,0,99,70
2026-04-27T21:17:31.838889+00:00,medium_gpu_2_final_long_conversation,1,181,40,43,89,60,0,0,,,1107,1597,32084,6,0,80,79
2026-04-27T21:17:32.889189+00:00,medium_gpu_2_final_long_conversation,0,173,41,43,91,60,0,0,,,1107,1597,32106,6,0,98,69
2026-04-27T21:17:32.933039+00:00,medium_gpu_2_final_long_conversation,1,181,40,43,88,60,0,0,,,1107,1597,32084,6,0,79,78
2026-04-27T21:17:33.982724+00:00,medium_gpu_2_final_long_conversation,0,173,41,44,91,60,0,0,,,1107,1597,32106,6,0,100,69
