# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     37     37     37      0      0      0      0      -      -   1107   1245  27448      6      0      0      0 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0     37     36     36      0      0      0      0      -      -   1107   1245  27448      6      0      0      0 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0     37     36     36      0      0      0      0      -      -   1107   1245  27448      6      0      0      0 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0     36     35     35      0      0      0      0      -      -   1107   1245  27448      6      0      0      0 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0     36     35     35      0      0      0      0      -      -   1107   1245  27448      6      0      0      0 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0     36     35     34      0      0      0      0      -      -   1107   1245  27448      6      0      0      0 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0     36     34     34      0      0      0      0      -      -   1107   1245  27448      6      0      0      0 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    214     41     38    100     21      0      0      -      -   1107   1245  27448      6      0   3346    310 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    205     42     45     96     77      0      0      -      -   1107   1597  27448      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    202     43     47     96     77      0      0      -      -   1107   1597  27448      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    206     43     48     96     77      0      0      -      -   1107   1597  27448      6      0     31      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    203     44     48     97     77      0      0      -      -   1107   1597  27448      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    209     44     49     96     77      0      0      -      -   1107   1597  27448      6      0     34      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    208     44     49     97     77      0      0      -      -   1107   1597  27448      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    208     45     49     97     77      0      0      -      -   1107   1597  27448      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    211     45     50     97     77      0      0      -      -   1107   1597  27448      6      0     34      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    202     45     50     96     77      0      0      -      -   1107   1597  27448      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    204     46     50     96     77      0      0      -      -   1107   1597  27448      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    205     46     50     96     77      0      0      -      -   1107   1597  27448      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    212     46     51     96     77      0      0      -      -   1107   1597  27448      6      0     35      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    205     46     51     96     77      0      0      -      -   1107   1597  27448      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    207     46     50     96     77      0      0      -      -   1107   1597  27448      6      0     34      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0    210     47     51     96     77      0      0      -      -   1107   1597  27448      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    204     47     52     97     77      0      0      -      -   1107   1597  27448      6      0     34      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    212     47     51     96     77      0      0      -      -   1107   1597  27448      6      0     34      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    206     47     52     97     77      0      0      -      -   1107   1597  27448      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    213     47     52     97     77      0      0      -      -   1107   1597  27448      6      0     35      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    126     48     51     93     74      0      0      -      -   1107   1597  27448      6      0      5    194 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    253     50     46    100     21      0      0      -      -   1107   1245  27448      6      0   1991    227 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    220     51     46    100     21      0      0      -      -   1107   1245  27448      6      0   3126    228 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    249     51     47    100     22      0      0      -      -   1107   1245  27448      6      0   2149    194 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    230     51     47    100     21      0      0      -      -   1107   1237  27448      6      0   2176    221 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    211     49     52     96     66      0      0      -      -   1107   1597  27448      6      0     34      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
