# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     44     27     25      0      0      0      0      -      -   1107   1492  25930      6      0      0      0 
    1     36     23     22      0      0      0      0      -      -   1107   1245  25912      6      0      0      0 
    0     44     27     26      0      0      0      0      -      -   1107   1492  25930      6      0      0      0 
    1     36     23     22      0      0      0      0      -      -   1107   1245  25912      6      0      0      0 
    0     44     27     25      0      0      0      0      -      -   1107   1492  25930      6      0      0      0 
    1     36     23     22      0      0      0      0      -      -   1107   1245  25912      6      0      0      0 
    0     35     27     25      0      0      0      0      -      -   1107   1245  25930      6      0      0      0 
    1     36     23     22      0      0      0      0      -      -   1107   1245  25912      6      0      0      0 
    0     35     26     25      0      0      0      0      -      -   1107   1245  25930      6      0      0      0 
    1     36     23     22      0      0      0      0      -      -   1107   1245  25912      6      0      0      0 
    0     35     26     25      0      0      0      0      -      -   1107   1245  25930      6      0      0      0 
    1     36     23     23      0      0      0      0      -      -   1107   1245  25912      6      0      0      0 
    0     35     26     25      0      0      0      0      -      -   1107   1245  25930      6      0      0      0 
    1     36     23     23      0      0      0      0      -      -   1107   1245  25912      6      0      0      0 
    0    164     31     33     90     59      0      0      -      -   1107   1597  26054      6      0     96     71 
    1    168     27     30     88     59      0      0      -      -   1107   1597  26032      6      0     79     80 
    0    165     32     34     91     60      0      0      -      -   1107   1597  26054      6      0     98     72 
    1    171     29     31     88     59      0      0      -      -   1107   1597  26032      6      0     79     80 
    0    163     33     35     90     59      0      0      -      -   1107   1597  26054      6      0     98     72 
    1    169     29     32     89     59      0      0      -      -   1107   1597  26032      6      0     79     80 
    0    163     34     36     90     59      0      0      -      -   1107   1597  26054      6      0     99     71 
    1    167     30     33     89     60      0      0      -      -   1107   1597  26032      6      0     79     80 
    0    166     34     36     90     59      0      0      -      -   1107   1597  26054      6      0     97     71 
    1    170     30     34     89     60      0      0      -      -   1107   1597  26032      6      0     79     79 
    0    166     34     36     90     59      0      0      -      -   1107   1597  26054      6      0     97     71 
