# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     36     32     32      0      0      0      0      -      -   1107   1245  27164      6      0      0      0 
    1     37     31     31      0      0      0      0      -      -   1107   1245  27142      6      0      0      0 
    0     36     32     32      0      0      0      0      -      -   1107   1245  27164      6      0      0      0 
    1     37     31     30      0      0      0      0      -      -   1107   1245  27142      6      0      0      0 
    0     36     32     31      0      0      0      0      -      -   1107   1245  27164      6      0      0      0 
    1     37     31     30      0      0      0      0      -      -   1107   1245  27142      6      0      0      0 
    0     36     31     31      0      0      0      0      -      -   1107   1245  27164      6      0      0      0 
    1     37     30     30      0      0      0      0      -      -   1107   1245  27142      6      0      0      0 
    0     36     31     30      0      0      0      0      -      -   1107   1245  27164      6      0      0      0 
    1     37     30     29      0      0      0      0      -      -   1107   1245  27142      6      0      0      0 
    0     35     31     30      0      0      0      0      -      -   1107   1245  27164      6      0      0      0 
    1     37     30     29      0      0      0      0      -      -   1107   1245  27142      6      0      0      0 
    0     35     31     30      0      0      0      0      -      -   1107   1245  27164      6      0      0      0 
    1     37     30     29      0      0      0      0      -      -   1107   1245  27142      6      0      0      0 
    0    140     34     37     90     62      0      0      -      -   1107   1597  27164      6      0    105     66 
    1    167     34     36     89     55      0      0      -      -   1107   1590  27142      6      0     83     77 
    0    166     36     39     90     60      0      0      -      -   1107   1597  27164      6      0     99     71 
    1    176     35     37     88     59      0      0      -      -   1107   1597  27142      6      0     79     80 
    0    170     37     40     91     60      0      0      -      -   1107   1597  27164      6      0     99     71 
    1    179     36     38     89     60      0      0      -      -   1107   1597  27142      6      0     86     79 
    0    167     38     40     91     60      0      0      -      -   1107   1597  27164      6      0     98     66 
    1    166     36     39     88     60      0      0      -      -   1107   1597  27142      6      0     89     79 
    0    161     38     41     90     59      0      0      -      -   1107   1597  27164      6      0     97     63 
    1    170     36     40     88     60      0      0      -      -   1107   1597  27142      6      0     89     79 
    0    165     38     41     90     60      0      0      -      -   1107   1597  27164      6      0    102     69 
    1    175     37     40     88     60      0      0      -      -   1107   1597  27142      6      0     79     80 
    0    170     39     41     90     60      0      0      -      -   1107   1597  27164      6      0     97     72 
    1    169     37     41     89     60      0      0      -      -   1107   1597  27142      6      0     88     83 
    0    160     39     42     90     60      0      0      -      -   1107   1597  27164      6      0     97     62 
    1    167     37     41     88     60      0      0      -      -   1107   1597  27142      6      0     88     79 
    0    165     39     42     91     60      0      0      -      -   1107   1597  27164      6      0    100     62 
    1    172     38     41     88     60      0      0      -      -   1107   1597  27142      6      0     85     75 
    0    169     39     42     91     60      0      0      -      -   1107   1597  27164      6      0     99     71 
    1    179     38     41     88     60      0      0      -      -   1107   1597  27142      6      0     81     79 
    0    172     39     42     90     60      0      0      -      -   1107   1597  27164      6      0     93     71 
    1    166     38     42     88     60      0      0      -      -   1107   1597  27142      6      0     88     81 
    0    161     40     43     90     60      0      0      -      -   1107   1597  27164      6      0     97     64 
    1    170     38     42     88     60      0      0      -      -   1107   1597  27142      6      0     88     80 
    0    165     40     43     91     60      0      0      -      -   1107   1597  27164      6      0     98     64 
    1    176     38     42     88     60      0      0      -      -   1107   1597  27142      6      0     84     75 
    0    169     40     43     90     60      0      0      -      -   1107   1597  27164      6      0    100     70 
    1    181     39     42     89     60      0      0      -      -   1107   1597  27142      6      0     80     79 
    0    204     43     38    100     18      0      0      -      -   1107   1365  27794      6      0   3815   5380 
    1    214     41     39    100     18      0      0      -      -   1107   1342  27772      6      0   7933   1706 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0    202     43     38     97     19      0      0      -      -   1107   1462  27794      6      0   5328   3564 
    1    231     41     39     97     18      0      0      -      -   1107   1387  27772      6      0   5778   3744 
    0    155     41     43     90     50      0      0      -      -   1107   1597  27794      6      0    507    407 
    1    174     40     41     88     50      0      0      -      -   1107   1597  27772      6      0    431    480 
    0    168     41     43     90     50      0      0      -      -   1107   1597  27794      6      0    507    401 
    1    182     40     42     88     49      0      0      -      -   1107   1597  27772      6      0    426    466 
    0    174     41     43     90     50      0      0      -      -   1107   1597  27794      6      0    480    407 
    1    168     40     42     87     49      0      0      -      -   1107   1597  27772      6      0    432    479 
    0    166     41     42     90     50      0      0      -      -   1107   1597  27794      6      0    486    407 
    1    181     40     42     88     50      0      0      -      -   1107   1597  27772      6      0    398    440 
    0    174     42     43     90     50      0      0      -      -   1107   1597  27794      6      0    467    403 
    1    167     40     43     88     50      0      0      -      -   1107   1597  27772      6      0    430    475 
    0    156     42     43     90     50      0      0      -      -   1107   1597  27794      6      0    500    407 
    1    174     40     42     88     50      0      0      -      -   1107   1597  27772      6      0    417    479 
    0    166     42     43     90     50      0      0      -      -   1107   1597  27794      6      0    494    407 
    1    183     41     43     88     50      0      0      -      -   1107   1597  27772      6      0    398    466 
    0    175     42     43     90     50      0      0      -      -   1107   1597  27794      6      0    537    377 
    1    167     41     43     88     50      0      0      -      -   1107   1597  27772      6      0    419    467 
    0    178     42     43     90     50      0      0      -      -   1107   1597  27794      6      0    481    407 
    1    170     41     43     88     50      0      0      -      -   1107   1597  27772      6      0    432    473 
    0    174     42     44     90     50      0      0      -      -   1107   1597  27794      6      0    494    406 
    1    173     41     43     88     50      0      0      -      -   1107   1597  27772      6      0    431    460 
