timestamp_utc,run_id,gpu,pwr_w,gtemp_c,mtemp_c,sm_pct,mem_pct,enc_pct,dec_pct,jpg_pct,ofa_pct,mclk_mhz,pclk_mhz,fb_mb,bar1_mb,ccpm_mb,rxpci_mbps,txpci_mbps
2026-04-27T21:40:06.249232+00:00,medium_gpu_1_final_chatbot,0,36,24,22,0,0,0,0,,,1107,1305,30302,6,0,0,0
2026-04-27T21:40:06.320792+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:07.591968+00:00,medium_gpu_1_final_chatbot,0,36,24,22,0,0,0,0,,,1107,1305,30302,6,0,0,0
2026-04-27T21:40:07.885032+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:09.075454+00:00,medium_gpu_1_final_chatbot,0,36,24,22,0,0,0,0,,,1107,1305,30302,6,0,0,0
2026-04-27T21:40:09.289992+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:10.561530+00:00,medium_gpu_1_final_chatbot,0,36,24,22,0,0,0,0,,,1107,1305,30302,6,0,0,0
2026-04-27T21:40:10.754874+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:12.005567+00:00,medium_gpu_1_final_chatbot,0,36,24,22,0,0,0,0,,,1107,1305,30302,6,0,0,0
2026-04-27T21:40:12.058112+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:13.127836+00:00,medium_gpu_1_final_chatbot,0,36,24,22,0,0,0,0,,,1107,1305,30302,6,0,0,0
2026-04-27T21:40:13.423503+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:14.755058+00:00,medium_gpu_1_final_chatbot,0,36,24,22,0,0,0,0,,,1107,1305,30302,6,0,0,0
2026-04-27T21:40:14.828193+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:15.877873+00:00,medium_gpu_1_final_chatbot,0,157,28,32,96,84,0,0,,,1107,1425,30444,6,0,35,8
2026-04-27T21:40:15.953092+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:17.002871+00:00,medium_gpu_1_final_chatbot,0,188,31,35,96,78,0,0,,,1107,1597,30444,6,0,34,8
2026-04-27T21:40:17.116430+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:18.166129+00:00,medium_gpu_1_final_chatbot,0,197,33,36,97,79,0,0,,,1107,1597,30444,6,0,35,8
2026-04-27T21:40:18.220336+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:19.270095+00:00,medium_gpu_1_final_chatbot,0,197,33,37,96,78,0,0,,,1107,1597,30444,6,0,34,8
2026-04-27T21:40:19.334844+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:20.384582+00:00,medium_gpu_1_final_chatbot,0,191,34,38,96,78,0,0,,,1107,1597,30444,6,0,34,8
2026-04-27T21:40:20.570624+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:21.620662+00:00,medium_gpu_1_final_chatbot,0,192,35,38,96,79,0,0,,,1107,1597,30444,6,0,34,8
2026-04-27T21:40:21.695551+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:22.747866+00:00,medium_gpu_1_final_chatbot,0,194,35,39,96,79,0,0,,,1107,1597,30444,6,0,34,8
2026-04-27T21:40:22.818634+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:23.868539+00:00,medium_gpu_1_final_chatbot,0,188,36,40,96,79,0,0,,,1107,1597,30444,6,0,34,8
2026-04-27T21:40:24.124714+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:25.174657+00:00,medium_gpu_1_final_chatbot,0,195,36,40,96,79,0,0,,,1107,1597,30444,6,0,34,8
2026-04-27T21:40:25.268146+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:26.317841+00:00,medium_gpu_1_final_chatbot,0,193,37,41,96,79,0,0,,,1107,1597,30444,6,0,34,8
2026-04-27T21:40:26.706048+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:27.755736+00:00,medium_gpu_1_final_chatbot,0,198,37,41,96,79,0,0,,,1107,1597,30444,6,0,34,8
2026-04-27T21:40:27.886123+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:28.935796+00:00,medium_gpu_1_final_chatbot,0,190,38,42,96,79,0,0,,,1107,1597,30444,6,0,34,8
2026-04-27T21:40:29.342042+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:30.392678+00:00,medium_gpu_1_final_chatbot,0,195,38,42,96,79,0,0,,,1107,1597,30444,6,0,34,8
2026-04-27T21:40:30.537949+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:31.587922+00:00,medium_gpu_1_final_chatbot,0,199,38,43,97,79,0,0,,,1107,1597,30444,6,0,34,8
2026-04-27T21:40:31.657926+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:32.707479+00:00,medium_gpu_1_final_chatbot,0,194,39,43,96,79,0,0,,,1107,1597,30444,6,0,34,8
2026-04-27T21:40:32.791674+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:33.841309+00:00,medium_gpu_1_final_chatbot,0,200,39,44,96,78,0,0,,,1107,1597,30444,6,0,34,8
2026-04-27T21:40:34.037034+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:35.086762+00:00,medium_gpu_1_final_chatbot,0,195,39,44,96,79,0,0,,,1107,1597,30444,6,0,34,8
2026-04-27T21:40:35.260455+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:36.310140+00:00,medium_gpu_1_final_chatbot,0,200,40,44,96,79,0,0,,,1107,1597,30444,6,0,34,8
2026-04-27T21:40:36.584152+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:37.633795+00:00,medium_gpu_1_final_chatbot,0,200,40,45,97,79,0,0,,,1107,1597,30444,6,0,34,8
2026-04-27T21:40:37.734467+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:38.787971+00:00,medium_gpu_1_final_chatbot,0,150,40,43,95,73,0,0,,,1107,1515,31418,6,0,33,8
2026-04-27T21:40:38.832397+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:39.884614+00:00,medium_gpu_1_final_chatbot,0,183,41,44,94,67,0,0,,,1107,1597,31418,6,0,34,8
2026-04-27T21:40:39.973566+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:41.024068+00:00,medium_gpu_1_final_chatbot,0,194,41,44,95,68,0,0,,,1107,1597,31418,6,0,33,8
2026-04-27T21:40:41.076590+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:42.128938+00:00,medium_gpu_1_final_chatbot,0,193,41,44,94,67,0,0,,,1107,1597,31418,6,0,37,8
2026-04-27T21:40:42.178565+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:43.231024+00:00,medium_gpu_1_final_chatbot,0,192,42,45,94,67,0,0,,,1107,1597,31418,6,0,34,8
2026-04-27T21:40:43.299543+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:44.349964+00:00,medium_gpu_1_final_chatbot,0,189,42,45,94,67,0,0,,,1107,1597,31418,6,0,37,8
2026-04-27T21:40:44.404010+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:45.455433+00:00,medium_gpu_1_final_chatbot,0,197,42,45,94,67,0,0,,,1107,1597,31418,6,0,34,8
2026-04-27T21:40:45.506863+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:46.557706+00:00,medium_gpu_1_final_chatbot,0,191,42,45,94,67,0,0,,,1107,1597,31418,6,0,33,9
2026-04-27T21:40:46.609746+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:47.659963+00:00,medium_gpu_1_final_chatbot,0,198,43,46,94,67,0,0,,,1107,1597,31418,6,0,36,8
2026-04-27T21:40:47.891722+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:48.942816+00:00,medium_gpu_1_final_chatbot,0,197,43,46,95,67,0,0,,,1107,1597,31418,6,0,36,8
2026-04-27T21:40:49.015985+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:50.065729+00:00,medium_gpu_1_final_chatbot,0,195,43,45,95,67,0,0,,,1107,1597,31418,6,0,33,8
2026-04-27T21:40:50.118867+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:51.168720+00:00,medium_gpu_1_final_chatbot,0,195,43,46,95,67,0,0,,,1107,1597,31418,6,0,33,9
2026-04-27T21:40:51.221239+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:52.271013+00:00,medium_gpu_1_final_chatbot,0,192,44,46,94,66,0,0,,,1107,1597,31418,6,0,38,8
2026-04-27T21:40:52.482963+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:53.532606+00:00,medium_gpu_1_final_chatbot,0,204,44,47,95,67,0,0,,,1107,1597,31418,6,0,34,8
2026-04-27T21:40:53.645667+00:00,medium_gpu_1_final_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T21:40:54.695401+00:00,medium_gpu_1_final_chatbot,0,197,44,47,94,66,0,0,,,1107,1597,31418,6,0,34,8
