# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     37     37     36      0      0      0      0      -      -   1107   1245  32320      6      0      0      0 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0     37     36     36      0      0      0      0      -      -   1107   1245  32320      6      0      0      0 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0     37     36     36      0      0      0      0      -      -   1107   1245  32320      6      0      0      0 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0     36     35     36      0      0      0      0      -      -   1107   1245  32320      6      0      0      0 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0     36     35     35      0      0      0      0      -      -   1107   1245  32320      6      0      0      0 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0     36     35     34      0      0      0      0      -      -   1107   1245  32320      6      0      0      0 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0     36     34     34      0      0      0      0      -      -   1107   1245  32320      6      0      0      0 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0     36     34     33      0      0      0      0      -      -   1107   1245  32320      6      0      0      0 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    251     43     39    100     21      0      0      -      -   1107   1230  32320      6      0   1868    195 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    206     42     46     97     77      0      0      -      -   1107   1597  32320      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    203     43     47     96     77      0      0      -      -   1107   1597  32320      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    210     43     48     96     77      0      0      -      -   1107   1597  32320      6      0     36      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    201     44     48     97     77      0      0      -      -   1107   1597  32320      6      0     34      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    211     44     48     96     77      0      0      -      -   1107   1597  32320      6      0     35      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    208     44     49     96     77      0      0      -      -   1107   1597  32320      6      0     32      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    203     45     49     96     77      0      0      -      -   1107   1597  32320      6      0     34      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    211     45     49     97     77      0      0      -      -   1107   1597  32320      6      0     36      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    212     45     50     96     77      0      0      -      -   1107   1597  32320      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    208     45     50     97     77      0      0      -      -   1107   1597  32320      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    202     46     50     97     77      0      0      -      -   1107   1597  32320      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    211     46     50     97     77      0      0      -      -   1107   1597  32320      6      0     36      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    211     46     51     97     77      0      0      -      -   1107   1597  32320      6      0     34      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0    207     46     50     97     77      0      0      -      -   1107   1597  32320      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    213     46     51     97     77      0      0      -      -   1107   1597  32320      6      0     36      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    211     47     51     97     77      0      0      -      -   1107   1597  32320      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    212     47     51     97     77      0      0      -      -   1107   1597  32320      6      0     34      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    206     47     52     96     77      0      0      -      -   1107   1597  32320      6      0     34      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    211     47     52     97     77      0      0      -      -   1107   1597  32320      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    202     47     52     95     76      0      0      -      -   1107   1597  32320      6      0     32      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    256     49     46    100     21      0      0      -      -   1107   1245  32320      6      0   3498    314 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    247     50     46    100     21      0      0      -      -   1107   1245  32320      6      0   3721    343 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    251     51     46     97     21      0      0      -      -   1107   1245  32320      6      0   3561    368 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    190     51     46    100     22      0      0      -      -   1107   1245  32320      6      0   4476    360 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    248     51     47    100     21      0      0      -      -   1107   1245  32320      6      0   2395    228 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    209     49     52     96     66      0      0      -      -   1107   1597  32320      6      0     39      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    203     49     52     96     66      0      0      -      -   1107   1597  32320      6      0     32      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    210     49     52     96     66      0      0      -      -   1107   1597  32320      6      0     35      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    192     49     52     96     66      0      0      -      -   1107   1597  32320      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    211     49     53     96     66      0      0      -      -   1107   1597  32320      6      0     35      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    199     49     53     96     66      0      0      -      -   1107   1597  32320      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    202     49     53     96     66      0      0      -      -   1107   1597  32320      6      0     32      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    210     50     53     97     67      0      0      -      -   1107   1597  32320      6      0     35      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    210     50     53     97     67      0      0      -      -   1107   1597  32320      6      0     34      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    210     50     53     96     67      0      0      -      -   1107   1597  32320      6      0     32      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0    213     50     53     96     66      0      0      -      -   1107   1597  32320      6      0     36      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    204     50     54     96     66      0      0      -      -   1107   1597  32320      6      0     33      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    210     50     53     96     67      0      0      -      -   1107   1597  32320      6      0     36      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    213     50     54     96     67      0      0      -      -   1107   1597  32320      6      0     32      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    214     50     54     96     66      0      0      -      -   1107   1597  32320      6      0     34      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    213     50     54     96     66      0      0      -      -   1107   1597  32320      6      0     35      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    213     50     54     97     67      0      0      -      -   1107   1597  32320      6      0     35      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    215     51     54     96     67      0      0      -      -   1107   1597  32320      6      0     41      8 
    1     24     21     21      0      0      0      0      -      -   1107    135      0      2      0      0      0 
    0    215     51     54     96     66      0      0      -      -   1107   1597  32320      6      0     34      8 
    1     24     21     20      0      0      0      0      -      -   1107    135      0      2      0      0      0 
