# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     36     33     33      0      0      0      0      -      -   1107   1245  32036      6      0      0      0 
    1     38     32     31      0      0      0      0      -      -   1107   1245  32014      6      0      0      0 
    0     36     33     32      0      0      0      0      -      -   1107   1245  32036      6      0      0      0 
    1     38     32     31      0      0      0      0      -      -   1107   1245  32014      6      0      0      0 
    0     36     32     32      0      0      0      0      -      -   1107   1245  32036      6      0      0      0 
    1     38     32     31      0      0      0      0      -      -   1107   1245  32014      6      0      0      0 
    0     36     32     31      0      0      0      0      -      -   1107   1245  32036      6      0      0      0 
    1     37     31     31      0      0      0      0      -      -   1107   1245  32014      6      0      0      0 
    0     36     32     31      0      0      0      0      -      -   1107   1245  32036      6      0      0      0 
    1     37     31     30      0      0      0      0      -      -   1107   1245  32014      6      0      0      0 
    0     36     31     31      0      0      0      0      -      -   1107   1245  32036      6      0      0      0 
    1     37     31     30      0      0      0      0      -      -   1107   1245  32014      6      0      0      0 
    0     36     31     31      0      0      0      0      -      -   1107   1245  32036      6      0      0      0 
    1     37     30     30      0      0      0      0      -      -   1107   1245  32014      6      0      0      0 
    0    163     34     32      0      0      0      0      -      -   1107   1245  32036      6      0   5139   3517 
    1    193     34     31     32      6      0      0      -      -   1107   1245  32014      6      0   4914   3549 
    0    160     36     39     90     59      0      0      -      -   1107   1597  32036      6      0     98     64 
    1    169     36     38     88     59      0      0      -      -   1107   1597  32014      6      0     89     78 
    0    162     37     40     90     59      0      0      -      -   1107   1597  32036      6      0    100     63 
    1    172     36     39     88     60      0      0      -      -   1107   1597  32014      6      0     89     80 
    0    166     38     41     90     59      0      0      -      -   1107   1597  32036      6      0    105     66 
    1    173     37     40     87     59      0      0      -      -   1107   1597  32014      6      0     80     79 
    0    169     38     41     91     60      0      0      -      -   1107   1597  32036      6      0     97     72 
    1    180     37     40     88     59      0      0      -      -   1107   1597  32014      6      0     84     80 
    0    172     39     41     90     59      0      0      -      -   1107   1597  32036      6      0     97     71 
    1    182     38     41     89     60      0      0      -      -   1107   1597  32014      6      0     89     79 
    0    174     39     41     91     60      0      0      -      -   1107   1597  32036      6      0     98     72 
    1    175     38     41     88     60      0      0      -      -   1107   1597  32014      6      0     89     83 
    0    158     39     42     90     59      0      0      -      -   1107   1597  32036      6      0     98     64 
    1    168     38     41     89     60      0      0      -      -   1107   1597  32014      6      0     89     80 
    0    163     39     43     91     60      0      0      -      -   1107   1597  32036      6      0     98     63 
    1    172     38     42     88     60      0      0      -      -   1107   1597  32014      6      0     89     79 
    0    165     40     43     91     60      0      0      -      -   1107   1597  32036      6      0     99     63 
    1    174     38     41     89     60      0      0      -      -   1107   1597  32014      6      0     86     74 
    0    166     40     43     90     60      0      0      -      -   1107   1597  32036      6      0    103     68 
    1    176     39     42     88     59      0      0      -      -   1107   1597  32014      6      0     80     79 
    0    170     40     42     90     60      0      0      -      -   1107   1597  32036      6      0     99     72 
    1    179     39     42     88     60      0      0      -      -   1107   1597  32014      6      0     81     79 
    0    171     40     43     90     60      0      0      -      -   1107   1597  32036      6      0     97     72 
    1    180     39     43     88     60      0      0      -      -   1107   1597  32014      6      0     85     79 
