timestamp_utc,run_id,gpu,pwr_w,gtemp_c,mtemp_c,sm_pct,mem_pct,enc_pct,dec_pct,jpg_pct,ofa_pct,mclk_mhz,pclk_mhz,fb_mb,bar1_mb,ccpm_mb,rxpci_mbps,txpci_mbps
2026-04-27T21:58:59.086003+00:00,medium_gpu_2_final_long_conversation,0,36,34,33,0,0,0,0,,,1107,1245,32122,6,0,0,0
2026-04-27T21:58:59.371488+00:00,medium_gpu_2_final_long_conversation,1,38,33,33,0,0,0,0,,,1107,1245,32102,6,0,0,0
2026-04-27T21:59:00.561989+00:00,medium_gpu_2_final_long_conversation,0,36,33,33,0,0,0,0,,,1107,1245,32122,6,0,0,0
2026-04-27T21:59:00.726433+00:00,medium_gpu_2_final_long_conversation,1,38,33,32,0,0,0,0,,,1107,1245,32102,6,0,0,0
2026-04-27T21:59:01.938888+00:00,medium_gpu_2_final_long_conversation,0,36,33,33,0,0,0,0,,,1107,1245,32122,6,0,0,0
2026-04-27T21:59:02.003359+00:00,medium_gpu_2_final_long_conversation,1,38,33,32,0,0,0,0,,,1107,1245,32102,6,0,0,0
2026-04-27T21:59:03.234090+00:00,medium_gpu_2_final_long_conversation,0,36,33,32,0,0,0,0,,,1107,1245,32122,6,0,0,0
2026-04-27T21:59:03.479062+00:00,medium_gpu_2_final_long_conversation,1,38,32,32,0,0,0,0,,,1107,1245,32102,6,0,0,0
2026-04-27T21:59:04.649400+00:00,medium_gpu_2_final_long_conversation,0,36,32,32,0,0,0,0,,,1107,1245,32122,6,0,0,0
2026-04-27T21:59:04.935003+00:00,medium_gpu_2_final_long_conversation,1,38,32,31,0,0,0,0,,,1107,1245,32102,6,0,0,0
2026-04-27T21:59:06.086871+00:00,medium_gpu_2_final_long_conversation,0,36,32,32,0,0,0,0,,,1107,1245,32122,6,0,0,0
2026-04-27T21:59:06.234307+00:00,medium_gpu_2_final_long_conversation,1,38,32,31,0,0,0,0,,,1107,1245,32102,6,0,0,0
2026-04-27T21:59:07.385274+00:00,medium_gpu_2_final_long_conversation,0,36,32,31,0,0,0,0,,,1107,1245,32122,6,0,0,0
2026-04-27T21:59:07.710660+00:00,medium_gpu_2_final_long_conversation,1,37,31,31,0,0,0,0,,,1107,1245,32102,6,0,0,0
2026-04-27T21:59:08.820742+00:00,medium_gpu_2_final_long_conversation,0,36,32,31,0,0,0,0,,,1107,1245,32122,6,0,0,0
2026-04-27T21:59:08.945383+00:00,medium_gpu_2_final_long_conversation,1,37,31,30,0,0,0,0,,,1107,1245,32102,6,0,0,0
2026-04-27T21:59:09.996346+00:00,medium_gpu_2_final_long_conversation,0,160,37,38,93,40,0,0,,,1107,1582,32124,6,0,94,68
2026-04-27T21:59:10.042938+00:00,medium_gpu_2_final_long_conversation,1,149,36,38,94,32,0,0,,,1107,1462,32102,6,0,79,77
2026-04-27T21:59:11.095181+00:00,medium_gpu_2_final_long_conversation,0,171,38,41,90,60,0,0,,,1107,1597,32124,6,0,95,71
2026-04-27T21:59:11.139078+00:00,medium_gpu_2_final_long_conversation,1,184,37,40,89,60,0,0,,,1107,1597,32102,6,0,88,78
2026-04-27T21:59:12.188755+00:00,medium_gpu_2_final_long_conversation,0,162,39,42,91,60,0,0,,,1107,1597,32124,6,0,96,64
2026-04-27T21:59:12.232659+00:00,medium_gpu_2_final_long_conversation,1,169,38,41,88,60,0,0,,,1107,1597,32102,6,0,88,79
2026-04-27T21:59:13.282304+00:00,medium_gpu_2_final_long_conversation,0,165,39,42,91,60,0,0,,,1107,1597,32124,6,0,97,63
2026-04-27T21:59:13.326890+00:00,medium_gpu_2_final_long_conversation,1,172,38,41,89,60,0,0,,,1107,1597,32102,6,0,89,77
2026-04-27T21:59:14.377441+00:00,medium_gpu_2_final_long_conversation,0,167,39,43,90,60,0,0,,,1107,1597,32124,6,0,99,62
2026-04-27T21:59:14.421261+00:00,medium_gpu_2_final_long_conversation,1,177,39,42,89,60,0,0,,,1107,1597,32102,6,0,87,75
2026-04-27T21:59:15.471198+00:00,medium_gpu_2_final_long_conversation,0,169,40,43,90,60,0,0,,,1107,1597,32124,6,0,98,64
2026-04-27T21:59:15.515059+00:00,medium_gpu_2_final_long_conversation,1,177,39,42,88,60,0,0,,,1107,1597,32102,6,0,86,80
2026-04-27T21:59:16.564718+00:00,medium_gpu_2_final_long_conversation,0,170,40,42,90,60,0,0,,,1107,1597,32124,6,0,103,66
2026-04-27T21:59:16.608559+00:00,medium_gpu_2_final_long_conversation,1,179,39,41,89,60,0,0,,,1107,1597,32102,6,0,83,74
2026-04-27T21:59:17.658213+00:00,medium_gpu_2_final_long_conversation,0,169,40,43,91,60,0,0,,,1107,1597,32124,6,0,102,66
2026-04-27T21:59:17.702056+00:00,medium_gpu_2_final_long_conversation,1,179,39,42,88,60,0,0,,,1107,1597,32102,6,0,82,75
2026-04-27T21:59:18.751744+00:00,medium_gpu_2_final_long_conversation,0,171,40,43,90,60,0,0,,,1107,1597,32124,6,0,102,66
2026-04-27T21:59:18.795596+00:00,medium_gpu_2_final_long_conversation,1,180,39,43,88,60,0,0,,,1107,1597,32102,6,0,82,75
2026-04-27T21:59:19.845279+00:00,medium_gpu_2_final_long_conversation,0,166,40,44,91,60,0,0,,,1107,1597,32124,6,0,95,62
2026-04-27T21:59:19.889251+00:00,medium_gpu_2_final_long_conversation,1,175,40,43,88,60,0,0,,,1107,1597,32102,6,0,89,78
2026-04-27T21:59:20.938977+00:00,medium_gpu_2_final_long_conversation,0,166,41,44,90,60,0,0,,,1107,1597,32124,6,0,96,62
2026-04-27T21:59:20.982858+00:00,medium_gpu_2_final_long_conversation,1,174,40,43,89,60,0,0,,,1107,1597,32102,6,0,88,78
2026-04-27T21:59:22.032554+00:00,medium_gpu_2_final_long_conversation,0,163,41,44,91,60,0,0,,,1107,1597,32124,6,0,97,66
2026-04-27T21:59:22.076361+00:00,medium_gpu_2_final_long_conversation,1,173,40,44,88,60,0,0,,,1107,1597,32102,6,0,87,81
2026-04-27T21:59:23.129237+00:00,medium_gpu_2_final_long_conversation,0,167,41,44,90,60,0,0,,,1107,1597,32124,6,0,97,63
2026-04-27T21:59:23.173786+00:00,medium_gpu_2_final_long_conversation,1,176,40,44,89,60,0,0,,,1107,1597,32102,6,0,87,78
2026-04-27T21:59:24.224564+00:00,medium_gpu_2_final_long_conversation,0,166,41,44,90,60,0,0,,,1107,1597,32124,6,0,97,63
2026-04-27T21:59:24.268504+00:00,medium_gpu_2_final_long_conversation,1,175,40,44,88,60,0,0,,,1107,1597,32102,6,0,87,78
2026-04-27T21:59:25.320014+00:00,medium_gpu_2_final_long_conversation,0,219,44,40,100,19,0,0,,,1107,1455,32124,6,0,4809,5213
2026-04-27T21:59:25.370723+00:00,medium_gpu_2_final_long_conversation,1,242,43,40,100,18,0,0,,,1107,1395,32102,6,0,6578,2695
2026-04-27T21:59:26.426124+00:00,medium_gpu_2_final_long_conversation,0,229,45,39,100,18,0,0,,,1107,1462,32124,6,0,4223,2717
2026-04-27T21:59:26.474587+00:00,medium_gpu_2_final_long_conversation,1,253,43,41,100,18,0,0,,,1107,1372,32102,6,0,6775,2817
2026-04-27T21:59:27.540509+00:00,medium_gpu_2_final_long_conversation,0,151,45,39,97,17,0,0,,,1107,1380,32124,6,0,4873,2755
2026-04-27T21:59:27.588098+00:00,medium_gpu_2_final_long_conversation,1,258,43,41,100,18,0,0,,,1107,1372,32102,6,0,6829,2966
2026-04-27T21:59:28.645240+00:00,medium_gpu_2_final_long_conversation,0,155,43,43,90,47,0,0,,,1107,1507,32124,6,0,2738,434
2026-04-27T21:59:28.689583+00:00,medium_gpu_2_final_long_conversation,1,161,42,44,89,53,0,0,,,1107,1597,32102,6,0,2433,467
2026-04-27T21:59:29.739307+00:00,medium_gpu_2_final_long_conversation,0,177,43,44,90,51,0,0,,,1107,1597,32124,6,0,2659,451
