timestamp_utc,run_id,gpu,pwr_w,gtemp_c,mtemp_c,sm_pct,mem_pct,enc_pct,dec_pct,jpg_pct,ofa_pct,mclk_mhz,pclk_mhz,fb_mb,bar1_mb,ccpm_mb,rxpci_mbps,txpci_mbps
2026-04-27T20:36:04.138368+00:00,medium_gpu_1_chatbot,0,36,24,22,0,0,0,0,,,1107,1312,25406,6,0,0,0
2026-04-27T20:36:04.185627+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:05.336668+00:00,medium_gpu_1_chatbot,0,36,24,22,0,0,0,0,,,1107,1312,25406,6,0,0,0
2026-04-27T20:36:05.388419+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:06.639905+00:00,medium_gpu_1_chatbot,0,36,24,22,0,0,0,0,,,1107,1312,25406,6,0,0,0
2026-04-27T20:36:06.973179+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:08.145476+00:00,medium_gpu_1_chatbot,0,36,24,22,0,0,0,0,,,1107,1312,25406,6,0,0,0
2026-04-27T20:36:08.356340+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:09.468340+00:00,medium_gpu_1_chatbot,0,36,24,22,0,0,0,0,,,1107,1312,25406,6,0,0,0
2026-04-27T20:36:09.538569+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:10.630391+00:00,medium_gpu_1_chatbot,0,36,24,22,0,0,0,0,,,1107,1312,25406,6,0,0,0
2026-04-27T20:36:10.862200+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:11.954105+00:00,medium_gpu_1_chatbot,0,36,24,22,0,0,0,0,,,1107,1312,25406,6,0,0,0
2026-04-27T20:36:12.205309+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:13.255094+00:00,medium_gpu_1_chatbot,0,148,27,30,96,65,0,0,,,1107,1425,25548,6,0,32,8
2026-04-27T20:36:13.392798+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:14.442419+00:00,medium_gpu_1_chatbot,0,195,31,35,96,78,0,0,,,1107,1597,25548,6,0,34,8
2026-04-27T20:36:14.654339+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:15.706968+00:00,medium_gpu_1_chatbot,0,195,33,36,97,79,0,0,,,1107,1597,25548,6,0,33,8
2026-04-27T20:36:15.777002+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:16.826917+00:00,medium_gpu_1_chatbot,0,174,33,36,95,71,0,0,,,1107,1597,26404,6,0,33,8
2026-04-27T20:36:16.879008+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:17.928739+00:00,medium_gpu_1_chatbot,0,180,34,36,96,69,0,0,,,1107,1597,26404,6,0,33,8
2026-04-27T20:36:18.001996+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:19.051609+00:00,medium_gpu_1_chatbot,0,182,34,37,96,68,0,0,,,1107,1597,26404,6,0,33,8
2026-04-27T20:36:19.125235+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:20.175299+00:00,medium_gpu_1_chatbot,0,163,34,37,95,73,0,0,,,1107,1515,26404,6,0,35,8
2026-04-27T20:36:20.230041+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:21.280430+00:00,medium_gpu_1_chatbot,0,184,35,38,96,68,0,0,,,1107,1597,26404,6,0,35,8
2026-04-27T20:36:21.333074+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:22.383462+00:00,medium_gpu_1_chatbot,0,179,35,39,95,68,0,0,,,1107,1597,26404,6,0,33,8
2026-04-27T20:36:22.437100+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:23.778335+00:00,medium_gpu_1_chatbot,0,52,32,29,0,0,0,0,,,1107,1597,26404,6,0,0,2
2026-04-27T20:36:23.885009+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:25.037194+00:00,medium_gpu_1_chatbot,0,51,30,28,0,0,0,0,,,1107,1597,26404,6,0,0,0
2026-04-27T20:36:25.305954+00:00,medium_gpu_1_chatbot,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
