timestamp_utc,run_id,gpu,pwr_w,gtemp_c,mtemp_c,sm_pct,mem_pct,enc_pct,dec_pct,jpg_pct,ofa_pct,mclk_mhz,pclk_mhz,fb_mb,bar1_mb,ccpm_mb,rxpci_mbps,txpci_mbps
2026-04-27T20:36:41.639108+00:00,medium_gpu_1_code_generation,0,35,27,25,0,0,0,0,,,1107,1245,26404,6,0,0,0
2026-04-27T20:36:41.928042+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:43.280047+00:00,medium_gpu_1_code_generation,0,35,27,25,0,0,0,0,,,1107,1245,26404,6,0,0,0
2026-04-27T20:36:43.493130+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:44.784148+00:00,medium_gpu_1_code_generation,0,35,26,25,0,0,0,0,,,1107,1245,26404,6,0,0,0
2026-04-27T20:36:44.921135+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:46.011696+00:00,medium_gpu_1_code_generation,0,35,26,25,0,0,0,0,,,1107,1245,26404,6,0,0,0
2026-04-27T20:36:46.143461+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:47.213239+00:00,medium_gpu_1_code_generation,0,35,26,25,0,0,0,0,,,1107,1245,26404,6,0,0,0
2026-04-27T20:36:47.368751+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:48.478706+00:00,medium_gpu_1_code_generation,0,35,26,25,0,0,0,0,,,1107,1245,26404,6,0,0,0
2026-04-27T20:36:48.794778+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:49.945358+00:00,medium_gpu_1_code_generation,0,35,26,25,0,0,0,0,,,1107,1245,26404,6,0,0,0
2026-04-27T20:36:50.080846+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:51.130710+00:00,medium_gpu_1_code_generation,0,195,31,35,96,82,0,0,,,1107,1597,26404,6,0,35,9
2026-04-27T20:36:51.175295+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:52.227835+00:00,medium_gpu_1_code_generation,0,192,34,38,96,79,0,0,,,1107,1597,26404,6,0,36,9
2026-04-27T20:36:52.279931+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:53.331999+00:00,medium_gpu_1_code_generation,0,193,35,38,97,79,0,0,,,1107,1597,26404,6,0,38,8
2026-04-27T20:36:53.389299+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:54.442958+00:00,medium_gpu_1_code_generation,0,197,35,39,97,79,0,0,,,1107,1597,26404,6,0,38,8
2026-04-27T20:36:54.537413+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:55.587096+00:00,medium_gpu_1_code_generation,0,196,36,40,96,79,0,0,,,1107,1597,26404,6,0,37,8
2026-04-27T20:36:55.912684+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:56.977694+00:00,medium_gpu_1_code_generation,0,160,39,36,100,24,0,0,,,1107,1260,26848,6,0,32,8
2026-04-27T20:36:57.021592+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:58.071810+00:00,medium_gpu_1_code_generation,0,190,37,40,96,69,0,0,,,1107,1597,26848,6,0,40,8
2026-04-27T20:36:58.128394+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:36:59.178051+00:00,medium_gpu_1_code_generation,0,186,37,40,96,69,0,0,,,1107,1597,26848,6,0,33,9
2026-04-27T20:36:59.251085+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:37:00.300767+00:00,medium_gpu_1_code_generation,0,182,38,41,96,69,0,0,,,1107,1597,26848,6,0,34,9
2026-04-27T20:37:00.353493+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:37:01.403172+00:00,medium_gpu_1_code_generation,0,183,38,42,96,69,0,0,,,1107,1597,26848,6,0,33,8
2026-04-27T20:37:01.456268+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:37:02.505928+00:00,medium_gpu_1_code_generation,0,186,38,42,96,68,0,0,,,1107,1597,26848,6,0,34,8
2026-04-27T20:37:02.636979+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:37:03.722398+00:00,medium_gpu_1_code_generation,0,223,41,37,96,30,0,0,,,1107,1207,26848,6,0,3567,330
2026-04-27T20:37:03.787116+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:37:04.836833+00:00,medium_gpu_1_code_generation,0,189,39,42,95,69,0,0,,,1107,1597,26848,6,0,37,8
2026-04-27T20:37:04.903733+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:37:05.955753+00:00,medium_gpu_1_code_generation,0,189,39,43,96,69,0,0,,,1107,1597,26848,6,0,35,9
2026-04-27T20:37:06.006131+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:37:07.058802+00:00,medium_gpu_1_code_generation,0,188,40,43,96,68,0,0,,,1107,1597,26848,6,0,33,8
2026-04-27T20:37:07.107902+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:37:08.160415+00:00,medium_gpu_1_code_generation,0,190,40,43,96,69,0,0,,,1107,1597,26848,6,0,33,8
2026-04-27T20:37:08.211241+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:37:09.262308+00:00,medium_gpu_1_code_generation,0,188,40,44,96,68,0,0,,,1107,1597,26848,6,0,37,8
2026-04-27T20:37:09.313227+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:37:10.364128+00:00,medium_gpu_1_code_generation,0,187,40,44,96,69,0,0,,,1107,1597,26848,6,0,33,9
2026-04-27T20:37:10.436362+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-27T20:37:11.629263+00:00,medium_gpu_1_code_generation,0,53,36,34,0,0,0,0,,,1107,1597,26848,6,0,0,0
2026-04-27T20:37:11.698704+00:00,medium_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
