# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     35     24     22      0      0      0      0      -      -   1107   1245  25886      6      0      0      0 
    1     36     23     22      0      0      0      0      -      -   1107   1245  25868      6      0      0      0 
    0     35     24     22      0      0      0      0      -      -   1107   1245  25886      6      0      0      0 
    1     36     23     22      0      0      0      0      -      -   1107   1245  25868      6      0      0      0 
    0     35     24     22      0      0      0      0      -      -   1107   1245  25886      6      0      0      0 
    1     36     23     22      0      0      0      0      -      -   1107   1245  25868      6      0      0      0 
    0     35     24     22      0      0      0      0      -      -   1107   1245  25886      6      0      0      0 
    1     36     23     22      0      0      0      0      -      -   1107   1245  25868      6      0      0      0 
    0     35     24     22      0      0      0      0      -      -   1107   1245  25886      6      0      0      0 
    1     36     23     22      0      0      0      0      -      -   1107   1245  25868      6      0      0      0 
    0     35     24     22      0      0      0      0      -      -   1107   1245  25886      6      0      0      0 
    1     36     23     22      0      0      0      0      -      -   1107   1245  25868      6      0      0      0 
    0     35     24     22      0      0      0      0      -      -   1107   1245  25886      6      0      0      0 
    1     36     23     22      0      0      0      0      -      -   1107   1245  25868      6      0      0      0 
    0    154     28     30     90     61      0      0      -      -   1107   1597  26008      6      0     96     68 
    1    159     27     30     89     58      0      0      -      -   1107   1597  25988      6      0     87     83 
    0    154     30     32     88     57      0      0      -      -   1107   1597  26008      6      0     97     62 
    1    161     29     32     89     59      0      0      -      -   1107   1597  25988      6      0     88     77 
    0    147     31     32     89     52      0      0      -      -   1107   1597  26708      6      0   2860    500 
    1    166     29     32     87     52      0      0      -      -   1107   1597  26688      6      0   2450    493 
    0    153     31     33     89     52      0      0      -      -   1107   1597  26708      6      0   2718    443 
    1    153     30     32     87     52      0      0      -      -   1107   1597  26688      6      0   2345    476 
    0    151     32     33     89     52      0      0      -      -   1107   1597  26788      6      0   2715    435 
    1    151     31     33     87     52      0      0      -      -   1107   1597  26768      6      0   2382    480 
    0    155     32     33     89     52      0      0      -      -   1107   1597  26788      6      0   2627    513 
    1    159     31     33     87     52      0      0      -      -   1107   1597  26768      6      0   2245    470 
    0     51     29     27      0      0      0      0      -      -   1107   1597  26788      6      0      0      0 
    1     54     28     27      0      0      0      0      -      -   1107   1597  26768      6      0      0      0 
    0     51     28     26      0      0      0      0      -      -   1107   1597  26788      6      0      0      0 
    1     54     27     26      0      0      0      0      -      -   1107   1597  26768      6      0 
