# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     51     27     24      0      0      0      0      -      -   1107   1597  26788      6      0      0      0 
    1     53     26     25      0      0      0      0      -      -   1107   1597  26768      6      0      0      1 
    0     35     26     25      0      0      0      0      -      -   1107   1245  26788      6      0      0      0 
    1     36     25     25      0      0      0      0      -      -   1107   1245  26768      6      0      0      0 
    0     35     26     24      0      0      0      0      -      -   1107   1245  26788      6      0      0      0 
    1     36     25     24      0      0      0      0      -      -   1107   1245  26768      6      0      0      0 
    0     35     26     24      0      0      0      0      -      -   1107   1245  26788      6      0      0      0 
    1     36     25     24      0      0      0      0      -      -   1107   1245  26768      6      0      0      0 
    0     35     26     24      0      0      0      0      -      -   1107   1245  26788      6      0      0      0 
    1     36     25     24      0      0      0      0      -      -   1107   1245  26768      6      0      0      0 
    0     35     26     24      0      0      0      0      -      -   1107   1245  26788      6      0      0      0 
    1     36     25     24      0      0      0      0      -      -   1107   1245  26768      6      0      0      0 
    0     35     25     24      0      0      0      0      -      -   1107   1245  26788      6      0      0      0 
    1     36     25     24      0      0      0      0      -      -   1107   1245  26768      6      0      0   2632 
    0    157     30     32     91     59      0      0      -      -   1107   1597  26788      6      0     97     62 
    1    164     29     32     88     58      0      0      -      -   1107   1597  26768      6      0     88     79 
    0    166     32     33     91     59      0      0      -      -   1107   1597  26788      6      0     99     71 
    1    173     31     34     89     59      0      0      -      -   1107   1597  26768      6      0     83     79 
    0    155     33     35     91     59      0      0      -      -   1107   1597  26788      6      0     96     62 
    1    163     31     34     88     59      0      0      -      -   1107   1597  26768      6      0     88     78 
    0    241     36     31    100     19      0      0      -      -   1107   1425  27066      6      0   5927   4567 
    1    200     34     32    100     19      0      0      -      -   1107   1372  27046      6      0   6435   4681 
    0    161     34     35     89     52      0      0      -      -   1107   1597  27066      6      0   2915    409 
    1    152     32     34     88     52      0      0      -      -   1107   1597  27046      6      0   2301    474 
    0    163     34     35     90     53      0      0      -      -   1107   1597  27066      6      0   2576    511 
    1    161     32     34     88     52      0      0      -      -   1107   1597  27046      6      0   2271    481 
    0    154     34     36     89     52      0      0      -      -   1107   1597  27066      6      0   2985    497 
    1    166     33     35     88     52      0      0      -      -   1107   1597  27046      6      0   2022    468 
    0    155     35     36     90     53      0      0      -      -   1107   1597  27066      6      0   1634   4267 
    1    211     32     33     88     53      0      0      -      -   1107   1597  27046      6      0   6616   3590 
    0    153     35     37     90     52      0      0      -      -   1107   1597  27066      6      0   2919    481 
    1    165     33     36     88     52      0      0      -      -   1107   1597  27046      6      0   2059    502 
    0    156     35     37     90     53      0      0      -      -   1107   1597  27066      6      0   2795    480 
    1    167     34     36     88     52      0      0      -      -   1107   1597  27046      6      0   2408    496 
    0    160     36     37     90     53      0      0      -      -   1107   1597  27066      6      0   2842    424 
    1    156     34     37     88     52      0      0      -      -   1107   1597  27046      6      0   2411    481 
    0    164     36     37     89     53      0      0      -      -   1107   1597  27066      6      0   2479    511 
    1    162     34     38     88     52      0      0      -      -   1107   1597  27046      6      0   2253    478 
    0     55     33     30      0      0      0      0      -      -   1107   1597  27066      6      0      0      0 
    1     55     31     30      0      0      0      0      -      -   1107   1597  27046      6      0      0      0 
