# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     54     29     27      0      0      0      0      -      -   1107   1597  27066      6      0      0      0 
    1     54     28     27      0      0      0      0      -      -   1107   1597  27046      6      0      0      0 
    0     54     29     27      0      0      0      0      -      -   1107   1597  27066      6      0      0      0 
    1     54     28     27      0      0      0      0      -      -   1107   1597  27046      6      0      0      0 
    0     54     29     27      0      0      0      0      -      -   1107   1597  27066      6      0      0      0 
    1     54     28     27      0      0      0      0      -      -   1107   1597  27046      6      0      0      0 
    0     54     29     26      0      0      0      0      -      -   1107   1597  27066      6      0      0      0 
    1     54     28     27      0      0      0      0      -      -   1107   1597  27046      6      0      0      0 
    0     54     29     27      0      0      0      0      -      -   1107   1597  27066      6      0      0      0 
    1     54     28     26      0      0      0      0      -      -   1107   1597  27046      6      0      0      0 
    0     36     28     27      0      0      0      0      -      -   1107   1245  27066      6      0      0      0 
    1     37     27     26      0      0      0      0      -      -   1107   1245  27046      6      0      0      0 
    0     35     28     26      0      0      0      0      -      -   1107   1245  27066      6      0      0      0 
    1     37     26     26      0      0      0      0      -      -   1107   1245  27046      6      0      0      0 
    0    211     34     29    100     20      0      0      -      -   1107   1507  27068      6      0   5961   3488 
    1    244     33     30    100     18      0      0      -      -   1107   1372  27046      6      0    103    117 
    0    157     34     36     91     59      0      0      -      -   1107   1597  27068      6      0     96     65 
    1    166     32     35     88     59      0      0      -      -   1107   1597  27046      6      0     87     80 
    0    160     34     36     91     60      0      0      -      -   1107   1597  27068      6      0     96     61 
    1    168     33     35     88     59      0      0      -      -   1107   1597  27046      6      0     87     78 
    0    162     35     37     91     59      0      0      -      -   1107   1597  27068      6      0     96     61 
    1    169     34     36     88     59      0      0      -      -   1107   1597  27046      6      0     88     78 
    0    176     38     32    100     18      0      0      -      -   1107   1492  27582      6      0   5423   3540 
    1    233     36     34    100     17      0      0      -      -   1107   1320  27560      6      0   7811   1142 
    0    156     36     38     90     54      0      0      -      -   1107   1597  27582      6      0   2818    374 
    1    171     35     37     89     54      0      0      -      -   1107   1597  27560      6      0   2162    362 
    0    156     36     38     91     54      0      0      -      -   1107   1597  27582      6      0   2895    369 
    1    170     34     37     89     54      0      0      -      -   1107   1597  27560      6      0   1903    368 
    0    167     36     38     91     54      0      0      -      -   1107   1597  27582      6      0   2618    386 
    1    167     35     38     89     54      0      0      -      -   1107   1597  27560      6      0   2056    317 
    0    166     37     39     90     54      0      0      -      -   1107   1597  27582      6      0   2334    396 
    1    166     35     37     88     54      0      0      -      -   1107   1597  27560      6      0   2121    317 
    0    208     39     34    100     19      0      0      -      -   1107   1425  27582      6      0   4626   3984 
    1    186     38     36    100     16      0      0      -      -   1107   1290  27560      6      0   2682   6810 
    0    170     38     40     90     54      0      0      -      -   1107   1597  27582      6      0   2775    377 
    1    173     36     39     89     54      0      0      -      -   1107   1597  27560      6      0   2342    356 
    0    166     38     40     91     54      0      0      -      -   1107   1597  27582      6      0   2855    380 
    1    170     36     39     89     55      0      0      -      -   1107   1597  27560      6      0   1886    366 
    0    179     38     40     91     55      0      0      -      -   1107   1597  27582      6      0   2885    383 
    1    169     36     38     89     54      0      0      -      -   1107   1597  27560      6      0   1968    328 
    0    177     39     40     91     54      0      0      -      -   1107   1597  27582      6      0   2551    393 
    1    169     36     40     89     54      0      0      -      -   1107   1597  27560      6      0   2095    322 
    0     59     35     32      0      0      0      0      -      -   1107   1597  27582      6      0      0      0 
    1     56     33     32      0      0      0      0      -      -   1107   1597  27560      6      0      0      0 
