timestamp_utc,run_id,gpu,pwr_w,gtemp_c,mtemp_c,sm_pct,mem_pct,enc_pct,dec_pct,jpg_pct,ofa_pct,mclk_mhz,pclk_mhz,fb_mb,bar1_mb,ccpm_mb,rxpci_mbps,txpci_mbps
2026-04-26T22:40:50.257986+00:00,small_gpu_1_code_generation,0,51,26,24,0,0,0,0,,,1107,1597,26894,6,0,0,0
2026-04-26T22:40:50.484170+00:00,small_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-26T22:40:51.595947+00:00,small_gpu_1_code_generation,0,51,27,24,0,0,0,0,,,1107,1597,26894,6,0,0,0
2026-04-26T22:40:51.847305+00:00,small_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-26T22:40:52.997630+00:00,small_gpu_1_code_generation,0,51,27,24,0,0,0,0,,,1107,1597,26894,6,0,0,0
2026-04-26T22:40:53.169481+00:00,small_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-26T22:40:54.380341+00:00,small_gpu_1_code_generation,0,51,27,24,0,0,0,0,,,1107,1597,26894,6,0,0,0
2026-04-26T22:40:54.552317+00:00,small_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-26T22:40:55.964541+00:00,small_gpu_1_code_generation,0,51,27,24,0,0,0,0,,,1107,1597,26894,6,0,0,0
2026-04-26T22:40:56.096270+00:00,small_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-26T22:40:57.166795+00:00,small_gpu_1_code_generation,0,35,26,24,0,0,0,0,,,1107,1245,26894,6,0,0,0
2026-04-26T22:40:57.460161+00:00,small_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-26T22:40:58.573079+00:00,small_gpu_1_code_generation,0,35,25,24,0,0,0,0,,,1107,1245,26894,6,0,0,0
2026-04-26T22:40:58.904020+00:00,small_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-26T22:40:59.955208+00:00,small_gpu_1_code_generation,0,150,30,31,90,52,0,0,,,1107,1597,26894,6,0,41,8
2026-04-26T22:41:00.086233+00:00,small_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-26T22:41:01.137421+00:00,small_gpu_1_code_generation,0,151,31,32,89,51,0,0,,,1107,1597,26894,6,0,41,8
2026-04-26T22:41:01.191054+00:00,small_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-26T22:41:02.240618+00:00,small_gpu_1_code_generation,0,150,32,33,87,47,0,0,,,1107,1597,27104,6,0,40,7
2026-04-26T22:41:02.412495+00:00,small_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-26T22:41:03.462392+00:00,small_gpu_1_code_generation,0,152,33,33,88,48,0,0,,,1107,1597,27104,6,0,37,8
2026-04-26T22:41:03.515184+00:00,small_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-26T22:41:04.564765+00:00,small_gpu_1_code_generation,0,153,33,34,86,47,0,0,,,1107,1597,27104,6,0,41,8
2026-04-26T22:41:04.619324+00:00,small_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-26T22:41:05.670933+00:00,small_gpu_1_code_generation,0,150,34,34,88,48,0,0,,,1107,1597,27104,6,0,40,8
2026-04-26T22:41:05.781829+00:00,small_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
2026-04-26T22:41:06.992409+00:00,small_gpu_1_code_generation,0,51,30,27,0,0,0,0,,,1107,1597,27104,6,0,0,0
2026-04-26T22:41:07.425025+00:00,small_gpu_1_code_generation,1,24,21,21,0,0,0,0,,,1107,135,0,2,0,0,0
