# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     50     26     24      0      0      0      0      -      -   1107   1597  26256      6      0      0      0 
    1     36     22     22      0      0      0      0      -      -   1107   1245  26238      6      0      0      0 
    0     50     26     24      0      0      0      0      -      -   1107   1597  26256      6      0      0      0 
    1     36     22     22      0      0      0      0      -      -   1107   1245  26238      6      0      0      0 
    0     50     26     24      0      0      0      0      -      -   1107   1597  26256      6      0      0      0 
    1     36     22     22      0      0      0      0      -      -   1107   1245  26238      6      0      0      0 
    0     35     26     24      0      0      0      0      -      -   1107   1245  26256      6      0      0      0 
    1     36     23     23      0      0      0      0      -      -   1107   1245  26238      6      0      0      0 
    0     35     25     24      0      0      0      0      -      -   1107   1245  26256      6      0      0      0 
    1     36     23     22      0      0      0      0      -      -   1107   1245  26238      6      0      0      0 
    0     35     25     24      0      0      0      0      -      -   1107   1245  26256      6      0      0      0 
    1     36     23     22      0      0      0      0      -      -   1107   1245  26238      6      0      0      0 
    0     35     25     24      0      0      0      0      -      -   1107   1245  26256      6      0      0      0 
    1     36     23     22      0      0      0      0      -      -   1107   1245  26238      6      0      0      0 
    0     73     26     25      0      0      0      0      -      -   1107   1245  26284      6      0     92     61 
    1     84     23     23     82      9      0      0      -      -   1107   1372  26266      6      0     71     79 
    0    106     28     27     77     23      0      0      -      -   1107   1597  26378      6      0    275    198 
    1    107     26     25     71     24      0      0      -      -   1107   1597  26360      6      0    181    280 
    0    108     29     28     78     19      0      0      -      -   1107   1597  26378      6      0    274    199 
    1    105     27     26     80     23      0      0      -      -   1107   1597  26360      6      0    215    260 
    0     53     28     25      0      0      0      0      -      -   1107   1597  26378      6      0      0      0 
    1     55     26     25      0      0      0      0      -      -   1107   1597  26360      6      0      0      0 
    0     53     27     25      0      0      0      0      -      -   1107   1597  26378      6      0      0      0 
    1     55     25     24      0      0      0      0      -      -   1107   1597  26360      6      0      0 
