# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     53     27     25      0      0      0      0      -      -   1107   1597  26378      6      0      0      0 
    1     55     25     24      0      0      0      0      -      -   1107   1597  26360      6      0      0      0 
    0     53     27     25      0      0      0      0      -      -   1107   1597  26378      6      0      0      0 
    1     36     24     24      0      0      0      0      -      -   1107   1245  26360      6      0      0      0 
    0     53     27     25      0      0      0      0      -      -   1107   1597  26378      6      0      0      0 
    1     36     24     24      0      0      0      0      -      -   1107   1245  26360      6      0      0      0 
    0     53     27     25      0      0      0      0      -      -   1107   1597  26378      6      0      0      0 
    1     36     24     24      0      0      0      0      -      -   1107   1245  26360      6      0      0      0 
    0     53     27     25      0      0      0      0      -      -   1107   1597  26378      6      0      0      0 
    1     36     24     23      0      0      0      0      -      -   1107   1245  26360      6      0      0      0 
    0     53     27     25      0      0      0      0      -      -   1107   1597  26378      6      0      0      0 
    1     36     24     24      0      0      0      0      -      -   1107   1245  26360      6      0      0      0 
    0     53     27     25      0      0      0      0      -      -   1107   1597  26378      6      0      0      0 
    1     36     24     23      0      0      0      0      -      -   1107   1245  26360      6      0      0      0 
    0    112     29     28     79     26      0      0      -      -   1107   1597  26378      6      0    103     63 
    1     93     25     25     75     30      0      0      -      -   1107   1515  26360      6      0     74     86 
    0    115     30     28     78     28      0      0      -      -   1107   1597  26378      6      0    103     63 
    1    111     27     27     73     28      0      0      -      -   1107   1597  26360      6      0     76     88 
    0    106     31     29     77     25      0      0      -      -   1107   1597  26484      6      0    295    182 
    1    109     28     27     73     25      0      0      -      -   1107   1597  26466      6      0    192    284 
    0    102     31     29     77     25      0      0      -      -   1107   1597  26484      6      0    300    216 
    1    116     28     28     73     25      0      0      -      -   1107   1597  26466      6      0    226    278 
    0    111     31     29     77     25      0      0      -      -   1107   1597  26484      6      0    303    178 
    1    110     29     28     73     25      0      0      -      -   1107   1597  26466      6      0    225    278 
    0    111     31     29     77     25      0      0      -      -   1107   1597  26484      6      0    304    182 
    1    108     29     28     73     25      0      0      -      -   1107   1597  26466      6      0    194    283 
    0     53     29     27      0      0      0      0      -      -   1107   1597  26484      6      0      0      0 
    1     54     27     26      0      0      0      0      -      -   1107   1597  26466      6      0      0      0 
