# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
    0     35     26     24      0      0      0      0      -      -   1107   1245  26484      6      0      0      0 
    1     53     26     25      0      0      0      0      -      -   1107   1597  26466      6      0      0      0 
    0     35     26     24      0      0      0      0      -      -   1107   1245  26484      6      0      0      0 
    1     53     26     25      0      0      0      0      -      -   1107   1597  26466      6      0      0      0 
    0     35     26     24      0      0      0      0      -      -   1107   1245  26484      6      0      0      0 
    1     53     26     25      0      0      0      0      -      -   1107   1597  26466      6      0      0      0 
    0     35     26     24      0      0      0      0      -      -   1107   1245  26484      6      0      0      0 
    1     54     26     25      0      0      0      0      -      -   1107   1597  26466      6      0      0      0 
    0     35     26     24      0      0      0      0      -      -   1107   1245  26484      6      0      0      0 
    1     54     26     25      0      0      0      0      -      -   1107   1597  26466      6      0      0      0 
    0     35     25     24      0      0      0      0      -      -   1107   1245  26484      6      0      0      0 
    1     54     26     25      0      0      0      0      -      -   1107   1597  26466      6      0      0      0 
    0     35     25     24      0      0      0      0      -      -   1107   1245  26484      6      0      0      0 
    1     53     26     25      0      0      0      0      -      -   1107   1597  26466      6      0      0      0 
    0    111     28     27     78     29      0      0      -      -   1107   1597  26484      6      0    104     63 
    1    117     29     28     73     29      0      0      -      -   1107   1597  26466      6      0     76     87 
    0    112     29     28     78     29      0      0      -      -   1107   1597  26484      6      0    105     64 
    1    121     29     28     72     28      0      0      -      -   1107   1597  26466      6      0     75     58 
    0    111     30     29     80     27      0      0      -      -   1107   1597  26718      6      0    179    107 
    1    117     30     30     76     27      0      0      -      -   1107   1597  26700      6      0    123    154 
    0    113     31     30     80     27      0      0      -      -   1107   1597  26718      6      0    182    119 
    1    118     30     29     75     27      0      0      -      -   1107   1597  26700      6      0    126    149 
    0    117     32     30     81     28      0      0      -      -   1107   1597  26718      6      0    181    119 
    1    118     30     30     76     27      0      0      -      -   1107   1597  26700      6      0    126    150 
    0    118     31     30     80     27      0      0      -      -   1107   1597  26718      6      0    174    107 
    1    120     30     30     75     27      0      0      -      -   1107   1597  26700      6      0    133    154 
    0     54     29     27      0      0      0      0      -      -   1107   1597  26718      6      0      0      0 
    1     55     28     27      0      0      0      0      -      -   1107   1597  26700      6      0      0      0 
